Time,q,qdot,pelv_gyro_x,pelv_gyro_y,pelv_gyro_z,pelv_acc_x,pelv_acc_y,pelv_acc_z,leg_gyro_x,leg_gyro_y,leg_gyro_z,leg_acc_x,leg_acc_y,leg_acc_z,Label
1289,-0.0686458,-0.03125,0.337174,0.144549,-0.163742,1.06708,13.5601,0.0838359,0.609173,-0.270057,0.057662,14.1804,10.4081,-1.67298,10
1299,-0.0690293,0.625,0.251998,0.189733,-0.0106042,1.43723,13.7671,-0.383189,0.663453,-0.171842,0.264288,12.8178,10.4422,-1.03799,10
1309,-0.0690293,0.132812,0.16737,0.219057,0.13551,1.83497,13.4772,-0.664366,0.652023,-0.082351,0.379423,10.4895,10.311,-0.117513,11
1319,-0.0686458,0.640625,0.0904435,0.236214,0.249366,2.16327,12.8702,-0.650423,0.587568,-0.00724345,0.40208,8.02959,10.2403,0.94331,12
1329,-0.0671118,0.953125,0.0214552,0.249507,0.311177,2.32409,12.3643,-0.39597,0.483566,0.0555819,0.357908,5.9281,10.4323,1.83404,13
1339,-0.0648108,0.0546875,-0.0363092,0.267737,0.315199,2.31719,12.1492,-0.114747,0.366631,0.123778,0.282744,4.21811,10.7722,2.04493,14
1349,-0.0605924,0.257812,-0.0747082,0.292999,0.272332,2.13651,12.1958,0.068223,0.281813,0.201629,0.195809,2.71471,11.2726,1.35417,15
1359,-0.04717,2.42969,-0.0747082,0.292999,0.272332,2.13651,12.1958,0.068223,0.281813,0.201629,0.195809,2.71471,11.2726,1.35417,16
1369,-0.0348981,1.55469,-0.0861515,0.325618,0.188335,1.62893,12.4141,0.127519,0.263147,0.291731,0.0814749,1.25077,11.9139,-0.526171,17
1379,-0.0306797,0.0234375,-0.0689915,0.362772,0.067729,0.672761,12.7214,-0.11356,0.319829,0.383186,-0.0781351,0.653634,12.4362,-3.44635,17
1389,-0.0333642,-0.601562,-0.0284951,0.393372,-0.0481366,-0.643217,13.3096,-0.651088,0.441929,0.423022,-0.216793,2.31491,13.1354,-5.31675,18
1399,-0.0410341,-1.34375,0.0100876,0.409425,-0.108836,-2.03459,14.299,-1.16692,0.577753,0.416377,-0.231497,5.72754,14.264,-4.40756,19
1409,-0.049471,-0.523438,0.000442919,0.418089,-0.0990643,-3.12932,15.2942,-1.35319,0.652308,0.450494,-0.12235,7.8416,15.1762,-1.8091,20
1419,-0.04717,0.0625,-0.0896066,0.428959,-0.0354459,-3.58926,15.4973,-1.24919,0.637263,0.582912,-0.00143106,6.19142,14.8319,0.538849,21
1429,-0.0429516,1.02344,-0.251164,0.446731,0.0295682,-3.32239,14.1241,-1.09087,0.557801,0.775513,0.016301,1.54464,12.9566,1.85377,22
1439,-0.0226263,3.79688,-0.430687,0.466808,0.0382435,-2.29922,11.0961,-1.1272,0.421799,0.953653,-0.120555,-3.64524,10.4752,2.05981,23
1449,0.0168738,5.32812,-0.430687,0.466808,0.0382435,-2.29922,11.0961,-1.1272,0.421799,0.953653,-0.120555,-3.64524,10.4752,2.05981,23
1459,0.0724808,6.96875,-0.548804,0.474547,-0.0163708,-0.870216,7.66919,-1.70425,0.220651,1.06229,-0.37887,-6.81759,8.31972,1.38985,24
