"q","lin_acc_x","lin_acc_y","lin_acc_z","ang_vel_x","ang_vel_y","ang_vel_z","Label"
"-0.428329","-2.350605","-0.53714","-9.869171","-0.483157","0.186465","0.064918","29"
"-0.428329","-2.33017","-0.132316","-10.048164","-0.487922","0.180046","-0.001484","30"
"-0.428712","-2.113299","-9.10E-5","-10.347064","-0.439415","0.151633","-0.069765","31"
"-0.429479","-2.17378","0.076237","-10.393131","-0.415206","0.119434","-0.137432","31"
"-0.430245","-2.03651","0.194853","-10.483339","-0.380031","0.115548","-0.191769","32"
"-0.432544","-1.962744","0.254929","-10.510889","-0.344996","0.101931","-0.242464","33"
"-0.436375","-1.990457","0.335925","-10.444058","-0.318525","0.097007","-0.271291","34"
"-0.438674","-2.084809","0.191071","-10.437675","-0.277657","0.084689","-0.283284","34"
"-0.439823","-2.199147","0.019129","-10.473633","-0.264819","0.072059","-0.29076","35"
"-0.440972","-2.302041","0.08693","-10.575505","-0.250261","0.059098","-0.300423","36"
"-0.440972","-2.571598","0.068184","-10.427318","-0.243615","0.020476","-0.304881","37"
"-0.43829","-2.801274","-0.203778","-10.409629","-0.230431","-0.022201","-0.314834","37"
"-0.432544","-3.069276","-0.996375","-10.783879","-0.238797","-0.065227","-0.364828","38"
"-0.427946","-2.810869","-1.133441","-11.738618","-0.338867","-0.061708","-0.474245","39"
"-0.426031","-1.993871","0.003592","-12.806292","-0.433618","-0.003071","-0.60542","40"
"-0.422583","-0.89938","0.936502","-14.360473","-0.373572","0.088908","-0.696554","40"
"-0.421816","0.952511","0.928808","-15.77133","-0.250055","0.162861","-0.74043","41"
"-0.422583","2.770923","1.846713","-16.509375","-0.071246","0.216241","-0.699752","42"
"-0.419518","4.341328","2.656599","-16.618752","0.192386","0.255556","-0.577917","43"
"-0.416453","5.655099","2.410767","-14.895538","0.466126","0.17874","-0.427932","43"
"-0.404959","5.510678","1.20473","-12.598032","0.59476","0.030707","-0.306172","44"
"-0.388485","4.606698","-0.830406","-10.090448","0.548187","-0.183427","-0.211504","45"
"-0.369712","2.777956","-1.873706","-6.994768","0.226519","-0.34049","-0.126275","46"
"-0.352854","2.129471","-1.657146","-5.301134","-0.116954","-0.261251","-0.060754","46"
"-0.343276","1.761855","-1.541868","-4.87362","-0.28632","-0.248038","-0.008894","47"
"-0.329101","1.603919","-0.943546","-5.166618","-0.389429","-0.164872","0.019312","48"
"-0.315309","1.677932","-0.179406","-6.39606","-0.487202","-0.009574","0.015908","49"
"-0.302666","1.871094","0.319479","-7.698447","-0.502016","0.066863","-0.019293","49"
"-0.28849","2.009536","1.189356","-8.924452","-0.524574","0.161163","-0.027102","50"
"-0.281977","2.286541","2.078901","-10.021999","-0.453685","0.211521","-0.005596","51"
"-0.268568","2.296827","2.410209","-10.638457","-0.344244","0.214721","0.027322","51"
"-0.255542","2.280042","2.320908","-10.743361","-0.255501","0.216674","0.083053","52"
"-0.242133","2.15933","2.106947","-10.522599","-0.175877","0.224104","0.165995","53"
"-0.230639","2.096416","1.65623","-10.202153","-0.108264","0.257137","0.264815","54"
"-0.222976","2.366662","1.002692","-9.768902","-0.072579","0.245159","0.368927","54"
"-0.210333","2.434253","0.713147","-9.29658","-0.08313","0.252113","0.46285","55"
"-0.197307","2.563352","0.357985","-8.921089","-0.106089","0.224924","0.527614","56"
"-0.185431","2.500328","0.239976","-8.62402","-0.150947","0.197041","0.580397","57"
"-0.173171","2.385423","0.143721","-8.415041","-0.187783","0.152979","0.618472","57"
"-0.167807","2.115316","0.160844","-8.443087","-0.219971","0.118154","0.652431","58"
"-0.156697","2.013026","0.205829","-8.552902","-0.234401","0.070292","0.683257","59"
"-0.145586","1.588378","0.691528","-8.614122","-0.237509","0.024396","0.714454","60"
"-0.135625","1.00503","0.830796","-8.665246","-0.221824","-0.000413","0.723552","60"
"-0.127196","0.591642","1.046459","-8.692728","-0.221392","-0.003952","0.72274","61"
"-0.122982","0.100971","1.436084","-8.760526","-0.225496","0.018393","0.701595","62"
"-0.118001","-0.390289","1.70501","-8.841584","-0.193385","0.056247","0.659106","63"
"-0.112638","-0.818772","1.963545","-8.931738","-0.171132","0.118313","0.60769","63"
"-0.109956","-1.178665","2.001664","-9.135839","-0.135769","0.200652","0.543277","64"
