right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.1025,0.2499,-0.4398,-0.693,-1.7604,0.4195,-1.3,-0.7338,8.8966,1.7003,1.4687,3.1052,-0.6572,1.219,6.0886,7.5496,0.2513,1.2114,1.0174,2.2228,-2.8551,8.3879,0.767991,0,1698649096,49
-0.0994,0.2566,-0.4411,-0.5539,-1.667,0.3763,-1.2001,-0.6422,8.6273,1.6702,1.5137,2.9527,-0.7854,1.1754,6.1445,7.574,0.0675,1.0354,0.9832,2.1948,-2.8686,8.435,0.373277,0,1698649096,50
-0.0958,0.277,-0.4412,-0.4232,-1.4889,0.2508,-1.0918,-0.5824,8.3912,1.6578,1.6066,2.928,-0.913,1.1417,6.209,7.5711,-0.0788,0.8841,0.9277,2.1714,-2.859,8.464,0.066671,0,1698649096,51
-0.0915,0.3345,-0.4408,-0.3147,-1.3428,0.12,-0.9634,-0.7082,8.3195,1.5119,1.7299,2.9812,-1.0165,1.0998,6.2613,7.5586,-0.2111,0.765,0.8624,2.149,-2.8144,8.4839,-0.171485,0,1698649096,51
-0.0865,0.389,-0.4404,-0.238,-1.2805,0.0594,-0.8057,-0.8513,8.1834,1.2294,1.7132,3.1069,-1.0252,1.0857,6.2757,7.5423,-0.308,0.5676,0.8058,2.1896,-2.7356,8.4794,-0.356468,0,1698649096,52
-0.0817,0.4175,-0.4401,-0.1802,-1.2167,-0.0482,-0.6193,-0.967,8.1359,0.9183,1.459,2.7845,-0.9332,1.1379,6.243,7.5261,-0.3567,0.2848,0.7498,2.347,-2.6429,8.3839,-0.500149,0,1698649096,53
-0.077,0.425,-0.4389,-0.1031,-1.2184,-0.1949,-0.4183,-1.1138,8.2658,0.6418,0.9846,1.9528,-0.7688,1.2353,6.2043,7.5004,-0.4032,0.0105,0.6493,2.5515,-2.5509,8.1969,-0.611447,0,1698649096,54
-0.0718,0.4408,-0.4353,0.009,-1.0901,-0.3668,-0.1897,-1.3572,8.1075,0.5517,0.4415,1.277,-0.5661,1.2872,6.2226,7.4714,-0.5304,-0.1837,0.445,2.7,-2.4879,7.9915,-0.697896,0,1698649096,54
-0.0657,0.47,-0.4287,0.1838,-0.7229,-0.5744,0.0713,-1.5876,7.5355,0.6113,-0.0341,1.0146,-0.372,1.2588,6.2996,7.4024,-0.7451,-0.3337,0.1049,2.7542,-2.4829,7.797,-0.765347,0,1698649096,55
-0.0591,0.4898,-0.4191,0.3926,-0.3192,-0.7808,0.3465,-1.7052,6.9987,0.7239,-0.5125,0.8193,-0.1701,1.1501,6.4338,7.2752,-1.0099,-0.4809,-0.3527,2.7361,-2.4878,7.6598,-0.817698,0,1698649096,56
-0.0518,0.5584,-0.4073,0.5835,0.2688,-1.0579,0.6114,-1.8657,6.6087,0.9279,-1.0112,0.4511,0.0685,0.9436,6.5751,7.2206,-1.3238,-0.5731,-0.8923,2.6322,-2.4534,7.6457,-0.85836,0,1698649096,57
-0.0435,0.6575,-0.3945,0.7374,0.9359,-1.3515,0.8266,-1.9003,6.381,1.0714,-1.4351,0.114,0.3007,0.6941,6.6392,7.2728,-1.6213,-0.6098,-1.4264,2.4363,-2.3994,7.7051,-0.889984,0,1698649096,57
-0.0345,0.7094,-0.3818,0.8353,1.4899,-1.6427,0.9596,-1.8189,6.6819,1.059,-1.8087,-0.3839,0.4521,0.5218,6.6197,7.3299,-1.8541,-0.6698,-1.8276,2.1963,-2.3617,7.7728,-0.914547,0,1698649096,58
-0.0248,0.7741,-0.3699,0.8605,2.1214,-1.9685,1.0169,-1.8217,7.2709,1.0155,-2.2054,-1.1993,0.51,0.4978,6.541,7.3814,-2.0102,-0.8843,-2.0012,1.9467,-2.3707,7.8281,-0.933626,0,1698649096,59
-0.0149,0.8566,-0.3601,0.8426,2.6928,-2.2736,0.9787,-1.7464,7.6223,1.0061,-2.6712,-2.2109,0.4783,0.6202,6.4165,7.4092,-2.0343,-1.333,-1.9222,1.7371,-2.445,7.9007,-0.948446,0,1698649096,59
-0.0058,0.9013,-0.3528,0.7873,3.0301,-2.5412,0.8289,-1.5086,8.0721,0.9298,-3.1378,-3.1927,0.3727,0.8201,6.2711,7.4222,-1.9132,-1.9269,-1.675,1.5973,-2.5938,7.9708,-0.959956,0,1698649096,60
0.0026,0.9052,-0.3476,0.6935,3.2563,-2.7951,0.6162,-1.3615,8.5822,0.8964,-3.4227,-4.009,0.2421,0.9925,6.1326,7.4807,-1.6777,-2.5314,-1.3458,1.5357,-2.7787,8.0308,-0.968892,0,1698649097,61
0.0097,0.8484,-0.3447,0.5757,3.3766,-3.0289,0.3642,-1.2668,8.9674,0.8082,-3.626,-4.7078,0.1561,1.0991,6.0236,7.5199,-1.4139,-3.0784,-0.975,1.5566,-2.9268,8.1001,-0.968814,0,1698649097,62
0.0155,0.7526,-0.3435,0.4437,3.4427,-3.2421,0.1189,-1.2312,9.2709,0.6898,-3.7192,-4.9566,0.1096,1.1688,5.9633,7.5622,-1.249,-3.5613,-0.6368,1.6474,-3.056,8.1452,-0.924014,0,1698649097,62
0.02,0.6794,-0.3423,0.3842,3.2871,-3.3012,-0.1005,-1.0894,9.3642,0.7573,-3.5999,-4.6607,0.0881,1.2214,5.9384,7.6971,-1.2982,-4.031,-0.3809,1.8125,-3.2157,8.2266,-0.775497,0,1698649097,63
0.0233,0.6023,-0.3385,0.4342,3.092,-3.3948,-0.3341,-0.8358,9.7958,0.9562,-3.4254,-4.2161,0.0637,1.2977,5.9062,7.923,-1.5716,-4.4571,-0.1821,2.0244,-3.4154,8.4316,-0.574637,0,1698649097,64
0.0257,0.5077,-0.3312,0.5655,3.1322,-3.6004,-0.5964,-0.8566,10.3075,1.3256,-3.2651,-3.8588,-0.0022,1.4391,5.8823,8.2722,-1.9399,-4.7199,0.014,2.2585,-3.6694,8.7736,-0.458483,0,1698649097,64
