right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.0368,0.2591,-0.2923,-0.6222,0.2004,-0.7503,-2.4004,-1.6122,9.7552,0.697,0.8455,0.1005,2.9017,2.3214,6.6411,7.2106,-0.2223,-0.2327,1.9784,1.0888,-4.0769,7.9196,0.974159,0,1698651997,44
-0.0341,0.2896,-0.2957,-0.543,0.2403,-0.8042,-2.3198,-1.5695,9.4129,0.7626,0.7331,0.2703,2.8098,2.3427,6.5282,7.1047,-0.2937,-0.1775,2.0859,1.0729,-4.0696,7.8451,0.795002,0,1698651997,44
-0.0318,0.2696,-0.2979,-0.467,0.273,-0.8596,-2.1584,-1.4652,9.3259,0.7722,0.5605,0.3273,2.7078,2.4232,6.4092,7.0544,-0.3533,-0.1568,2.1864,1.0728,-4.0781,7.7996,0.484734,0,1698651997,45
-0.0297,0.2622,-0.2998,-0.4056,0.2191,-0.9052,-2.01,-1.4455,9.375,0.7502,0.4291,0.3868,2.5723,2.4394,6.3128,6.9919,-0.415,-0.1765,2.267,1.0797,-4.0799,7.7754,0.191792,0,1698651997,46
-0.0271,0.2928,-0.3019,-0.3621,0.0273,-0.9006,-1.9118,-1.401,9.3649,0.7078,0.4011,0.491,2.4116,2.3489,6.2705,6.9153,-0.4816,-0.2173,2.3279,1.0926,-4.0882,7.798,-0.064496,0,1698651997,47
-0.0231,0.341,-0.3048,-0.3555,-0.1311,-0.908,-1.8329,-1.3276,9.3789,0.647,0.3811,0.5915,2.2494,2.3176,6.2727,6.8768,-0.5539,-0.2474,2.3693,1.1231,-4.0912,7.8445,-0.271941,0,1698651997,47
-0.0182,0.3696,-0.3081,-0.3583,-0.2481,-0.9087,-1.6848,-1.3108,9.235,0.7051,0.3596,0.685,2.1122,2.3416,6.299,6.8395,-0.6151,-0.2443,2.3818,1.1567,-4.0853,7.9052,-0.434312,0,1698651997,48
-0.0134,0.3599,-0.3108,-0.3295,-0.3919,-0.8181,-1.4717,-1.2718,9.1813,0.6704,0.3361,0.7541,2.01,2.3405,6.3296,6.7814,-0.6524,-0.2248,2.3745,1.1805,-4.0975,8.01,-0.560563,0,1698651997,49
-0.0094,0.3399,-0.3122,-0.2731,-0.5333,-0.7307,-1.2465,-1.2401,9.3231,0.5471,0.3016,0.784,1.9306,2.3178,6.3787,6.733,-0.6703,-0.2046,2.3612,1.2128,-4.1057,8.1321,-0.65866,0,1698651997,49
-0.0055,0.3317,-0.3126,-0.2281,-0.6185,-0.6866,-1.029,-1.3163,9.324,0.5511,0.2399,0.6938,1.8578,2.2947,6.4553,6.7238,-0.662,-0.1881,2.3397,1.2488,-4.093,8.2486,-0.734868,0,1698651997,50
