right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
0.0562,1.194,-0.505,0.7223,-1.1356,-3.6833,1.3259,-0.3048,6.7432,0.5688,-1.1339,-1.0612,1.5766,-0.1062,3.5153,7.9594,-0.9026,0.6875,3.7142,2.2623,-3.2388,8.1974,-0.853493,0,1698374924,56
0.0685,1.194,-0.4847,1.0744,-0.9934,-3.4334,1.6542,-0.1432,7.1827,0.4119,-0.9594,-1.0564,1.5088,0.0458,3.6673,8.1527,-0.7658,0.2484,3.2901,2.2543,-3.2906,8.5139,-0.886203,0,1698374924,57
0.081,1.1994,-0.4625,1.3595,-0.6179,-3.3168,1.87,-0.1572,7.5297,0.4589,-0.7294,-0.9725,1.4748,0.169,3.8003,8.3461,-0.6186,-0.0331,2.8644,2.2757,-3.3068,8.8169,-0.911611,0,1698374924,58
0.094,1.2195,-0.4405,1.5547,-0.1107,-3.2049,1.9413,-0.1913,7.8738,0.5098,-0.4578,-0.8631,1.4688,0.1951,3.9336,8.5778,-0.4847,-0.2287,2.4604,2.2914,-3.3202,9.1076,-0.931346,0,1698374924,58
0.1069,1.1954,-0.4207,1.6258,0.4017,-3.0047,1.8911,-0.3592,8.3683,0.6405,-0.1676,-0.9144,1.4344,0.1323,4.0484,8.8562,-0.3892,-0.3235,2.0836,2.2887,-3.3613,9.3631,-0.946674,0,1698374924,59
0.119,1.1438,-0.4055,1.5239,0.7631,-2.6975,1.7472,-0.5268,8.6724,0.9029,0.1081,-1.0822,1.2901,0.0833,4.1519,9.1694,-0.3491,-0.4261,1.7321,2.2764,-3.4339,9.5607,-0.95858,0,1698374924,60
0.1301,1.0874,-0.3985,1.2112,0.9901,-2.5108,1.5732,-0.3798,9.6287,1.1706,0.3691,-1.29,1.0245,0.101,4.2326,9.526,-0.3623,-0.5638,1.4438,2.2479,-3.5774,9.7276,-0.967828,0,1698374924,61
0.1394,1.0044,-0.4011,0.7548,1.2372,-2.3343,1.3222,-0.0705,10.8325,1.0693,0.6272,-1.4693,0.6956,0.1595,4.2889,9.923,-0.4245,-0.6426,1.2343,2.2376,-3.7612,9.9444,-0.975011,0,1698374924,62
0.1466,0.9102,-0.4108,0.2884,1.4163,-2.0856,0.9117,0.1968,11.6246,0.4,0.8482,-1.5693,0.3796,0.208,4.3877,10.3163,-0.5044,-0.8683,1.0656,2.229,-3.9501,10.2006,-0.98059,0,1698374924,63
0.1528,0.8288,-0.4244,-0.0646,1.3338,-1.901,0.3576,0.2932,12.2323,-0.4353,0.9755,-1.5278,0.1367,0.1651,4.61,10.6491,-0.5272,-1.0691,0.9312,2.2244,-4.1045,10.4203,-0.984919,0,1698374924,64
0.1582,0.7588,-0.4371,-0.2799,1.2655,-1.7567,-0.2262,-0.124,12.3093,-1.0304,0.99,-1.3464,0,-0.0423,4.9228,10.9421,-0.487,-1.2149,0.8012,2.2113,-4.1995,10.6131,-0.987922,0,1698374924,65
0.1623,0.6651,-0.4451,-0.3139,1.3812,-1.3276,-0.7103,-0.7161,12.3752,-0.8696,0.9783,-1.162,-0.0243,-0.4292,5.1938,11.2881,-0.4447,-1.5744,0.6151,2.2016,-4.3137,10.8606,-0.950136,0,1698374924,66
0.1648,0.5445,-0.4446,-0.0906,1.3594,-1.3181,-1.1648,-0.761,12.4406,-0.6022,1.0237,-1.092,-0.0211,-0.9505,5.3656,11.7369,-0.4314,-1.967,0.3776,2.3125,-4.4749,11.1614,-0.811138,0,1698374924,67
0.1649,0.4232,-0.4339,0.294,1.299,-1.534,-1.5902,-0.1065,12.2456,-0.1011,1.093,-1.1937,-0.212,-1.3421,5.4188,12.2259,-0.4731,-2.2728,0.1258,2.5547,-4.7262,11.4127,-0.642927,0,1698374924,68
0.1633,0.2557,-0.4154,0.7802,1.1882,-1.516,-1.9547,0.045,11.7615,1.0868,1.1111,-1.4968,-0.7012,-1.4594,5.3925,12.6364,-0.5626,-2.5257,-0.1337,2.8743,-5.0844,11.5769,-0.549301,0,1698374924,69
0.1587,0.0002,-0.3921,1.2514,1.0791,-1.3682,-2.2105,-0.3977,11.709,1.7462,1.0476,-1.9426,-1.3257,-1.4187,5.3234,12.939,-0.6389,-2.5474,-0.4307,3.2188,-5.4148,11.6459,-0.547965,0,1698374924,70
0.1486,-0.3341,-0.3681,1.4989,1.5552,-0.8043,-2.382,-0.7788,11.8606,2.5876,0.9003,-2.4407,-1.9105,-1.3217,5.215,13.0935,-0.67,-2.3657,-0.7892,3.5473,-5.5995,11.5375,-0.522313,0,1698374924,71
0.1313,-0.6982,-0.349,1.4754,2.0876,-0.5213,-2.6652,-0.676,11.7573,3.7431,0.6461,-2.8735,-2.3895,-1.1589,5.0215,12.991,-0.655,-2.118,-1.2441,3.7819,-5.6935,11.2245,-0.336847,0,1698374924,72
0.1078,-1.122,-0.3407,1.2008,2.5456,-0.4124,-3.0615,-0.4013,12.5719,4.3004,0.3234,-3.2037,-2.7717,-0.952,4.729,12.6467,-0.6007,-1.8771,-1.7823,3.8679,-5.7746,10.8104,-0.067454,0,1698374924,73
0.0817,-1.4756,-0.3423,0.8295,2.8228,-0.1454,-3.5466,-0.3355,13.1328,4.7012,0.0123,-3.3358,-3.0047,-0.772,4.4173,12.1999,-0.5228,-1.5979,-2.3359,3.8452,-5.7729,10.3887,0.170535,0,1698374924,74
0.0542,-1.8007,-0.3461,0.5879,2.2977,-0.0207,-4.0589,0.0989,12.9192,5.0261,-0.1979,-3.078,-3.0374,-0.6432,4.0616,11.7281,-0.464,-1.2208,-2.8689,3.7273,-5.69,10.0115,0.355728,0,1698374924,75
0.0234,-2.2165,-0.3454,0.5463,0.9703,0.0992,-4.1986,0.3016,13.1906,5.1729,-0.2393,-2.5376,-2.963,-0.5889,3.7097,11.3087,-0.46,-0.87,-3.3853,3.4916,-5.6099,9.7094,0.49956,0,1698374924,75
-0.0108,-2.4928,-0.3395,0.6172,-0.2559,0.1046,-3.9339,-0.7287,13.38,4.7799,-0.1436,-1.6621,-2.855,-0.6675,3.4623,10.9885,-0.5021,-0.6231,-3.8766,3.1948,-5.596,9.4866,0.611071,0,1698374924,76
-0.0472,-2.7034,-0.3302,0.7214,-0.749,-0.0378,-3.6047,-1.5338,13.0866,3.8552,0.0049,-0.7553,-2.743,-0.8975,3.3175,10.7262,-0.5962,-0.3495,-4.3188,2.9144,-5.6676,9.3546,0.697288,0,1698374924,77
-0.089,-2.9965,-0.3168,0.8693,-0.6395,-0.3683,-3.464,-1.7548,12.5976,3.4723,0.1466,-0.2103,-2.6833,-1.2124,3.2402,10.5148,-0.7451,0.0948,-4.7006,2.6569,-5.7574,9.3272,0.76422,0,1698374924,78
