right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
0.186,0.9446,-0.3717,-0.052,2.2928,-2.0702,0.2314,1.9641,13.3798,-0.1887,0.8012,-0.5154,-0.1604,-9.9614,5.5487,0.8794,-1.3669,-0.5931,-0.7727,-11.0609,2.4964,2.8789,-0.846764,0,1698375258.7907,64
0.1899,0.7946,-0.3861,-0.3817,1.8791,-1.6171,-0.4793,1.362,13.7562,-0.8952,0.4081,-0.8012,-0.0705,-10.2323,5.7353,0.9586,-1.1716,-1.0701,-0.5137,-11.5634,2.4513,3.1301,-0.61373,0,1698375258.8004,65
0.1918,0.6214,-0.3969,-0.4656,1.528,-1.0794,-1.1046,0.6139,14.1612,-0.5363,-0.1001,-1.2456,0.0419,-10.7627,5.8105,1.0204,-0.8759,-1.9639,-0.2359,-12.2082,2.3016,3.4357,-0.467696,0,1698375258.8107,66
0.1919,0.4726,-0.3988,-0.2511,0.8105,-0.6908,-1.7139,0.289,14.4677,0.1725,-0.632,-1.7791,0.2408,-11.482,5.79,1.0275,-0.5967,-2.9999,-0.0311,-12.8212,1.9418,3.6166,-0.343695,0,1698375258.8206,67
0.1912,0.3328,-0.3909,0.0966,0.0716,-0.417,-2.3192,0.5422,14.4524,0.7997,-1.0375,-2.2258,0.4968,-12.2361,5.6351,0.8355,-0.3356,-3.5659,0.0188,-13.2437,1.4766,3.523,-0.243064,0,1698375258.8303,68
0.1877,0.1102,-0.3761,0.4438,0.5578,-0.5785,-2.7417,0.1355,13.7517,1.973,-1.1888,-2.4382,0.6589,-12.9298,5.3719,0.3611,-0.12,-3.4482,-0.0634,-13.3792,1.1305,3.1301,-0.171879,0,1698375258.8404,69
0.1788,-0.2016,-0.3586,0.7187,1.4672,-0.4653,-3.0613,-0.3048,12.2694,3.1278,-1.0873,-2.3765,0.6826,-13.3767,4.9848,-0.3006,-0.0591,-3.0799,-0.227,-13.344,0.971,2.616,-0.120069,0,1698375258.8525,70
0.1615,-0.6014,-0.3427,0.7859,1.7143,0.1851,-3.3939,0.1388,11.8142,3.8658,-0.7784,-2.1539,0.6132,-13.375,4.496,-0.9938,-0.051,-2.5926,-0.4486,-13.1553,0.9075,2.103,-0.080689,0,1698375258.8628,71
0.1378,-1.0419,-0.3349,0.6306,2.2658,0.4636,-3.6974,-0.4888,11.9068,4.586,-0.2078,-1.8855,0.4801,-12.9385,3.9707,-1.6224,0.0329,-1.8495,-0.6591,-12.7086,0.8558,1.6337,-0.050226,0,1698375258.873,72
0.112,-1.4262,-0.3355,0.4368,2.6371,0.725,-4.0848,-1.1446,11.8101,4.7421,0.6342,-1.5731,0.3852,-12.1981,3.4835,-2.0652,0.2634,-0.9723,-0.7766,-12.1411,0.7357,1.2484,0.009266,0,1698375258.8822,73
