right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.3121,0.4607,0.106,-0.1653,1.9416,2.5235,0.4625,-1.1461,10.5585,2.3434,-2.4064,-2.868,1.6502,-10.8411,4.5472,-0.5473,-3.6684,-1.692,1.4019,-10.8614,1.7625,0.7371,0.610477,0,1698375084.6412,24
-0.3049,0.5665,0.0956,-0.3607,1.8305,2.4222,0.2328,-0.5909,10.4351,2.4346,-2.4642,-2.5689,1.3673,-10.7288,4.6167,-0.57,-3.5054,-1.7439,1.3969,-10.729,1.9016,0.5688,0.697062,0,1698375084.6507,25
-0.2948,0.7052,0.0815,-0.5841,1.4212,2.531,-0.0675,0.0871,10.7394,2.386,-2.6456,-2.2044,1.0837,-10.4764,4.6906,-0.5526,-3.3798,-1.7544,1.3965,-10.5356,2.1015,0.4784,0.764457,0,1698375084.6615,26
-0.2821,0.8481,0.0637,-0.8193,1.0053,2.5822,-0.282,0.352,10.9215,2.5399,-2.6373,-1.7543,0.8183,-10.1387,4.7908,-0.5233,-3.3571,-1.5938,1.391,-10.3148,2.3496,0.443,0.816323,0,1698375084.6717,26
-0.2691,0.9345,0.0442,-1.0825,0.8936,2.5505,-0.3412,0.1962,10.949,2.7647,-2.6419,-1.2172,0.6206,-9.7732,4.8767,-0.5334,-3.4674,-1.1801,1.3885,-10.1236,2.5994,0.4269,0.852575,0,1698375084.6824,27
-0.2572,0.9556,0.0238,-1.3357,0.7787,2.6374,-0.3079,0.0089,10.8053,2.9174,-2.8747,-0.5955,0.5011,-9.4038,4.937,-0.5616,-3.6561,-0.6714,1.3907,-9.9576,2.7876,0.4289,0.870697,0,1698375084.6919,28
-0.2467,0.9698,0.0022,-1.5063,0.5097,2.7595,-0.2412,-0.0514,10.8994,2.9486,-3.0283,-0.0735,0.4263,-9.0391,4.976,-0.5971,-3.8181,-0.2805,1.3934,-9.7558,2.8951,0.4515,0.863246,0,1698375084.702,29
-0.2366,0.9978,-0.0206,-1.6185,0.2768,2.8015,-0.1715,-0.2436,10.7806,3.0194,-3.0939,0.3091,0.3706,-8.7029,4.9625,-0.6367,-3.8893,-0.0518,1.4014,-9.491,2.9146,0.4667,0.812544,0,1698375084.7122,29
-0.2256,1.0558,-0.0446,-1.7434,0.0176,2.8358,-0.1326,-0.5123,10.586,3.0372,-3.0835,0.584,0.3198,-8.4049,4.8815,-0.6688,-3.8654,0.0712,1.4153,-9.2041,2.859,0.4523,0.725201,0,1698375084.7221,30
-0.2144,1.074,-0.0691,-1.9118,-0.1343,2.854,-0.1042,-0.7676,10.2434,3.0043,-3.0447,0.7967,0.2675,-8.1707,4.7576,-0.6785,-3.7718,0.1233,1.4252,-8.9273,2.7567,0.4371,0.639218,0,1698375084.7322,31
-0.2029,1.0606,-0.0936,-2.0969,-0.2012,2.8016,-0.1034,-1.0487,9.7333,2.9434,-3.0197,0.996,0.1911,-7.9987,4.6237,-0.6879,-3.6472,0.0871,1.4184,-8.6684,2.6254,0.4467,0.571846,0,1698375084.7419,32
-0.1916,1.0741,-0.1179,-2.2434,-0.1586,2.651,-0.1462,-1.2884,9.3275,2.9485,-3.0336,1.2071,0.0849,-7.8705,4.494,-0.7131,-3.5069,-0.0884,1.3799,-8.4511,2.506,0.4659,0.517211,0,1698375084.7519,32
-0.1807,1.1019,-0.1413,-2.3407,-0.2388,2.5885,-0.2358,-1.4014,9.1149,2.8164,-3.0682,1.4008,-0.0436,-7.7645,4.3944,-0.7496,-3.3579,-0.3765,1.3262,-8.2868,2.4387,0.4995,0.470836,0,1698375084.7619,33
-0.1702,1.0782,-0.1632,-2.3643,-0.3446,2.2895,-0.2516,-1.5228,9.0674,2.5909,-3.0882,1.5854,-0.1545,-7.6842,4.2964,-0.7912,-3.1876,-0.6735,1.2631,-8.1822,2.41,0.558,0.430921,0,1698375084.7735,34
-0.1594,1.0423,-0.1851,-2.2569,-0.4557,2.024,-0.3185,-1.3234,9.1716,2.1717,-3.1106,1.7322,-0.2628,-7.6481,4.2484,-0.8332,-2.982,-0.9034,1.1809,-8.1445,2.4114,0.6373,0.396375,0,1698375084.7838,35
-0.1489,1.04,-0.2052,-2.1239,-0.3244,1.4535,-0.6505,-1.766,8.8847,2.3784,-3.146,2.0245,-0.38,-7.6874,4.202,-0.9042,-2.4688,-1.1849,0.9674,-8.2382,2.4378,0.8651,0.365154,0,1698375084.795,35
-0.1397,1.0226,-0.2226,-2.0064,-0.0719,1.1113,-0.8337,-2.1222,8.6015,2.5102,-3.0728,2.1278,-0.3528,-7.7853,4.1633,-0.9308,-2.1903,-1.2392,0.8532,-8.3115,2.4218,0.959,0.335028,0,1698375084.8056,36
-0.1314,0.9676,-0.2394,-1.8557,0.0816,0.7441,-1.0612,-2.2209,8.4121,2.6195,-2.9103,2.2489,-0.3094,-7.8728,4.1263,-0.9347,-1.9458,-1.2047,0.7415,-8.3687,2.3859,1.0084,0.304447,0,1698375084.8167,37
-0.1238,0.8973,-0.2549,-1.7205,0.154,0.3396,-1.3197,-2.1532,8.421,2.6125,-2.7202,2.395,-0.3141,-7.947,4.0954,-0.9206,-1.7405,-1.0918,0.6428,-8.4008,2.3213,1.0099,0.269083,0,1698375084.8277,38
-0.1171,0.8174,-0.2692,-1.6244,0.3304,-0.105,-1.5622,-2.1364,8.5803,2.5437,-2.4779,2.4692,-0.368,-8.0206,4.0366,-0.9323,-1.5436,-0.9905,0.5653,-8.4223,2.2258,1.0082,0.192913,0,1698375084.8382,38
-0.1118,0.7203,-0.282,-1.5414,0.5355,-0.4938,-1.7727,-2.2231,8.5631,2.4675,-2.179,2.4579,-0.4662,-8.0705,3.9795,-0.9324,-1.36,-0.9187,0.5,-8.425,2.1117,1.0367,0.131728,0,1698375084.8481,39
-0.108,0.6295,-0.2934,-1.4417,0.6301,-0.8614,-1.9576,-2.2148,8.7203,2.3822,-1.9092,2.3297,-0.5893,-8.085,3.898,-0.9447,-1.1756,-0.8228,0.4279,-8.393,2.01,1.0757,0.122315,0,1698375084.8583,40
-0.1049,0.568,-0.3042,-1.3684,0.7811,-1.2543,-2.1012,-2.2741,8.8446,2.3533,-1.6989,2.0215,-0.7138,-8.0949,3.8004,-0.9644,-0.9736,-0.6895,0.3566,-8.356,1.9254,1.114,0.114407,0,1698375084.8688,40
-0.102,0.5076,-0.315,-1.3283,0.7314,-1.4546,-2.1803,-2.1948,9.0084,2.1411,-1.6037,1.7462,-0.8217,-8.0989,3.7356,-0.9661,-0.7791,-0.5315,0.2808,-8.3298,1.8563,1.1847,0.101388,0,1698375084.8802,41
-0.0985,0.453,-0.3264,-1.2664,0.5752,-1.5105,-2.1787,-1.8761,9.264,1.8627,-1.5545,1.4395,-0.8637,-8.0881,3.6612,-0.9875,-0.6034,-0.3576,0.1929,-8.3123,1.802,1.2954,0.084574,0,1698375084.8922,42
-0.0945,0.4198,-0.3369,-1.1562,0.5289,-1.5668,-2.105,-1.5882,9.253,1.7226,-1.4932,1.2013,-0.8622,-8.0831,3.5939,-1.0078,-0.4235,-0.2276,0.0957,-8.3172,1.7673,1.3906,0.06568,0,1698375084.9019,43
-0.0907,0.4068,-0.3457,-1.0581,0.5943,-1.6735,-1.9779,-1.3413,9.2249,1.7573,-1.3954,1.2404,-0.8262,-8.1079,3.5808,-0.964,-0.2215,-0.2221,-0.0275,-8.3504,1.7668,1.4762,0.030299,0,1698375084.912,43
-0.0869,0.4163,-0.3532,-1.0075,0.6655,-1.7709,-1.8204,-1.2107,9.2156,1.8773,-1.1992,1.2878,-0.7479,-8.1277,3.6155,-0.8971,0.007,-0.3056,-0.165,-8.39,1.7994,1.5831,-0.022511,0,1698375084.922,44
-0.0823,0.431,-0.3597,-0.9404,0.5487,-1.694,-1.6631,-1.0564,9.2688,1.8238,-0.9795,1.4354,-0.6836,-8.1446,3.6626,-0.8438,0.2304,-0.3841,-0.2914,-8.4353,1.8612,1.6912,-0.064895,0,1698375084.9321,45
-0.0775,0.4341,-0.366,-0.8589,0.452,-1.5865,-1.5051,-0.963,9.4361,1.7718,-0.7697,1.7188,-0.6218,-8.2051,3.7475,-0.7701,0.41,-0.388,-0.3887,-8.5004,1.9352,1.7915,-0.08555,0,1698375084.942,46
