right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.0168,1.0993,-0.526,-1.1997,-0.4991,-4.7344,-2.9927,-2.3902,7.0435,0.858,12.2595,4.4898,2.0021,6.1454,0.7289,2.5403,10.0068,4.0051,0.0422,6.3368,0.3059,-0.547,-0.999581,0,1698375680.2854,48
-0.0118,0.9762,-0.53,-0.9903,-0.8007,-4.8974,-2.5634,-2.2735,7.3916,0.5996,10.0921,3.0541,1.1617,6.269,0.7223,2.6429,5.9558,3.0817,0.5436,6.5107,0.1137,-0.4983,-0.999674,0,1698375680.2967,49
-0.0063,0.8861,-0.5316,-0.7736,-0.8773,-5.0769,-2.103,-2.1024,7.4031,0.5459,8.1538,2.2066,0.5746,6.4687,0.6891,2.682,2.5144,0.4335,1.0839,6.7205,-0.054,-0.6447,-0.999747,0,1698375680.3074,51
0.0009,0.8688,-0.5313,-0.5491,-0.8286,-5.1848,-1.6014,-1.8773,7.1343,0.6041,6.5699,1.7178,0.1953,6.7486,0.6524,2.6148,1.7349,-1.0286,1.3127,7.2134,0.0911,-0.4847,-0.999803,0,1698375680.3187,52
0.0109,0.9175,-0.5279,-0.2737,-0.8964,-5.1331,-1.0414,-1.6375,7.5346,0.3201,5.3353,1.6604,0.0532,7.066,0.6202,2.5848,-0.3883,-0.3355,1.5117,7.9867,0.0025,0.7503,-0.999847,0,1698375680.3289,53
0.0232,0.9855,-0.5193,0.0983,-0.8937,-4.9267,-0.4393,-1.7562,7.7875,-0.0705,4.667,1.9276,0.3135,7.3617,0.532,2.5529,-3.3574,0.1585,1.7097,8.3751,0.1264,1.3122,-0.999881,0,1698375680.3393,54
0.037,1.0814,-0.5037,0.5418,-0.9359,-4.4298,0.1382,-1.6813,7.532,-0.4039,4.4862,1.8599,0.7731,7.6234,0.4769,2.4258,-4.5243,0.3002,1.648,8.5076,0.3586,0.9588,-0.999908,0,1698375680.3501,55
0.0522,1.2058,-0.4823,1.0103,-0.8852,-3.9595,0.6942,-1.2693,7.6428,-0.5185,4.3952,1.4077,1.1829,7.888,0.4772,2.2931,-4.6134,-0.0243,1.2804,8.7083,0.2178,0.7335,-0.999928,0,1698375680.3597,56
0.0676,1.2861,-0.4583,1.4458,-0.5041,-3.6846,1.1883,-1.007,7.6936,-0.3717,4.3961,0.9201,1.4645,8.165,0.4645,2.2021,-3.8134,-0.3668,0.8637,8.976,-0.1544,0.6553,-0.999944,0,1698375680.37,57
0.0831,1.3102,-0.4335,1.7257,-0.1041,-3.3713,1.5635,-0.7122,7.8859,-0.2794,4.4428,0.4953,1.5291,8.4746,0.4758,2.1645,-2.6517,-0.2237,0.4113,9.31,-0.465,0.6643,-0.999957,0,1698375680.3798,58
0.0985,1.3379,-0.4097,1.8278,0.1827,-3.1646,1.8098,-0.5542,8.2189,-0.0602,4.5575,0.254,1.4352,8.8746,0.5102,2.2254,-2.0281,0.2232,0.0549,9.5663,-0.6214,0.5205,-0.999966,0,1698375680.3903,59
0.1132,1.3317,-0.3878,1.8039,0.5461,-3.0654,1.9048,-0.7175,8.86,0.1727,4.8452,0.1203,1.2992,9.3206,0.4787,2.5127,-2.5629,0.6675,-0.0073,9.8081,-0.665,0.4094,-0.999974,0,1698375680.4007,60
0.1269,1.3031,-0.3724,1.5975,1.1403,-2.8895,1.8891,-1.0074,9.3682,0.8873,5.0123,0.2363,1.1475,9.7776,0.4216,2.8447,-2.4159,0.6027,-0.2754,10.0432,-0.5984,0.2292,-0.99998,0,1698375680.4112,61
0.1386,1.2696,-0.3681,1.2341,1.4015,-2.6847,1.6877,-0.7707,10.2899,1.4442,4.7502,0.9527,0.9922,10.2887,0.4118,3.0881,-2.3213,-0.2274,-0.2979,10.4081,-0.8576,0.0655,-0.999984,0,1698375680.4217,62
0.148,1.184,-0.372,0.8233,1.4775,-2.4302,1.3208,-0.3498,11.5572,1.3655,4.0566,2.0043,0.7813,10.7747,0.3851,3.2942,-2.6526,-1.4977,-0.0001,10.8605,-1.2558,0.0477,-0.999988,0,1698375680.4321,63
0.1552,1.054,-0.3808,0.4322,1.5098,-1.8296,0.1845,0.255,12.9262,0.6154,1.549,3.1119,0.0706,11.3933,0.1792,3.3551,-1.8897,-2.11,0.5423,11.7123,-1.6273,0.0614,-0.999991,0,1698375680.4438,64
0.1605,0.8886,-0.3918,0.0926,1.5727,-1.5811,-0.4493,-0.0205,13.0512,-0.0761,-0.0652,2.7722,-0.4093,11.5714,0.1572,3.3854,-0.3352,-1.5036,0.5869,11.9208,-0.9503,0.0298,-0.999993,0,1698375680.4543,65
0.1637,0.7212,-0.4015,-0.1353,1.4783,-1.3028,-1.0702,-0.2044,13.1223,-0.479,-1.6309,2.1682,-0.8518,11.7654,0.2101,3.6152,1.5258,-0.8169,0.4401,12.099,-0.5217,0.0015,-0.998749,0,1698375680.4648,66
0.1653,0.5755,-0.4059,-0.136,1.0744,-0.8217,-1.5193,-0.4696,13.8053,-0.39,-3.2357,0.939,-1.3337,11.9842,0.2336,4.1102,2.0297,-0.4055,0.6311,12.3133,-0.8041,-0.0999,-0.968851,0,1698375680.4752,67
0.1658,0.4521,-0.4019,0.0736,0.8637,-0.7368,-1.805,-1.3782,14.3864,0.2618,-4.9329,-1.0077,-2.0633,12.2533,0.3531,4.716,1.7683,-1.1886,0.9695,12.5707,-0.8468,-0.2671,-0.9344,0,1698375680.4849,68
0.1651,0.2899,-0.39,0.3825,0.5186,-0.4826,-2.1454,-1.4813,14.0715,1.0177,-6.3083,-3.4376,-3.045,12.5398,0.4777,5.147,1.6633,-2.793,1.2315,13.0066,-0.888,-0.259,-0.931998,0,1698375680.4951,69
0.1612,0.0568,-0.3718,0.7032,0.1031,0.3378,-2.4686,-1.0028,13.6395,1.6067,-7.7507,-5.976,-4.1824,12.7688,0.4334,5.4245,0.8011,-3.9259,1.4861,13.392,-1.1696,-0.1119,-0.942605,0,1698375680.5076,70
0.1497,-0.2486,-0.3508,0.899,0.3164,0.7577,-2.7751,-1.0096,13.568,2.6397,-9.1455,-8.136,-5.0677,12.9055,0.1825,5.5658,-0.0748,-4.2434,1.3533,13.4855,-1.3255,0.1012,-0.955419,0,1698375680.5185,71
0.13,-0.6413,-0.3335,0.9282,0.6227,0.916,-3.1077,-0.9902,13.3203,3.7721,-10.4751,-9.6774,-5.4928,12.8687,-0.2214,5.6146,-0.4619,-3.897,0.8683,13.3796,-1.4533,0.2641,-0.965373,0,1698375680.5287,72
0.1058,-1.0069,-0.3262,0.7606,1.1597,1.1975,-3.4419,-1.196,13.1982,4.2729,-11.8402,-10.3539,-5.3653,12.6022,-0.5776,5.5589,-0.7133,-3.2051,0.3118,13.1391,-1.7036,0.3618,-0.973104,0,1698375680.5386,73
0.0799,-1.3377,-0.327,0.5054,1.4533,1.6922,-3.8838,-1.1682,12.8129,4.2025,-12.5622,-10.0042,-4.5718,12.1667,-0.7714,5.4019,-0.8693,-2.7675,-0.1384,12.762,-2.0158,0.4072,-0.979109,0,1698375680.5486,74
0.0528,-1.6631,-0.329,0.3865,1.2083,1.9307,-4.2526,-0.9226,12.1747,3.9791,-12.4106,-8.9623,-3.3777,11.6344,-0.8009,5.2774,-0.9333,-2.6363,-0.3968,12.3315,-2.1771,0.4507,-0.983774,0,1698375680.559,75
0.0228,-1.9178,-0.3267,0.46,0.6925,1.8996,-4.1139,-1.8004,12.1333,4.2025,-11.4586,-7.5794,-2.1409,11.1189,-0.7853,5.1888,-0.7794,-1.9899,-0.6504,12.0508,-2.1933,0.3912,-0.984507,0,1698375680.5687,76
-0.0091,-2.1366,-0.3178,0.636,-0.0209,1.6359,-3.6414,-3.7828,12.5411,3.9177,-9.9428,-6.0136,-1.1419,10.7481,-0.7115,5.0738,-1.5325,-0.8692,-0.7937,11.8341,-2.2942,0.7631,-0.87233,0,1698375680.5787,77
-0.042,-2.4335,-0.3037,0.8581,-0.5341,1.5035,-3.2053,-4.6447,12.3637,2.978,-8.3385,-4.4906,-0.4937,10.4074,-0.6191,4.9162,-2.7728,0.263,-0.7669,11.611,-2.3163,1.2708,-0.780098,0,1698375680.5888,78
-0.0756,-2.6726,-0.2867,1.067,-0.9114,1.2848,-2.807,-4.1559,11.8503,2.7167,-6.9279,-3.1969,-0.1777,10.0383,-0.4348,4.7131,-3.2956,0.7972,-0.7657,11.4182,-2.0981,1.3382,-0.817966,0,1698375680.6,79
-0.1106,-2.7142,-0.2685,1.1731,-0.9241,0.4221,-2.3485,-4.1445,11.7913,2.8526,-6.0972,-2.1528,-0.3124,9.8449,-0.0883,4.4985,-3.6778,0.158,-0.7665,11.2013,-1.9446,1.3423,-0.855369,0,1698375680.6099,80
-0.1441,-2.7734,-0.2507,1.2515,-0.7277,-0.5002,-1.7725,-4.4152,11.7925,3.196,-6.1994,-1.2038,-0.9249,9.8877,0.2188,4.4143,-4.3104,-0.9009,-0.52,11.1901,-2.1761,1.3128,-0.887661,0,1698375680.6204,81
-0.1746,-2.8505,-0.2338,1.2975,-0.6783,-1.1774,-1.1938,-4.0535,11.6927,3.5005,-7.1063,-0.1368,-1.6997,10.0203,0.2866,4.4326,-4.4635,-1.685,-0.1683,11.2679,-2.2802,1.3663,-0.912743,0,1698375680.6307,82
-0.2057,-2.8519,-0.2171,1.358,-0.513,-1.6421,-0.5842,-3.0162,11.4965,3.4376,-8.27,0.8487,-2.3382,10.0594,0.2101,4.4161,-3.6424,-1.7291,-0.0528,11.2266,-2.2159,1.3572,-0.932225,0,1698375680.6408,83
-0.2354,-2.8808,-0.2009,1.4529,-0.2269,-1.999,0.7662,-1.2427,10.2871,3.2644,-9.8553,2.2278,-2.4958,9.872,-0.1596,4.0041,-2.6776,-0.0926,-0.464,10.7462,-2.2871,1.3053,-0.947357,0,1698375680.652,84
-0.2655,-2.9308,-0.1838,1.5453,-0.2748,-1.9257,1.418,-0.3181,9.7379,3.1278,-9.7848,2.918,-2.0302,9.6999,-0.4201,3.7556,-3.0444,-0.8322,-0.8023,10.2331,-2.282,1.0786,-0.959094,0,1698375680.6625,85
-0.2961,-2.8642,-0.1658,1.6032,-0.4177,-1.7708,2.0129,0.2278,9.157,3.0393,-9.3236,3.7004,-1.2826,9.5594,-0.7194,3.4629,-3.1435,-1.7331,-1.2704,9.7404,-2.108,0.8305,-0.96821,0,1698375680.6734,86
-0.3251,-2.788,-0.1475,1.6226,-0.6088,-1.5175,2.5884,0.4739,8.6963,2.9429,-8.5938,4.6336,-0.182,9.3866,-0.9983,3.239,-3.0731,-1.3497,-1.6485,9.3307,-1.9823,0.6681,-0.975307,0,1698375680.6845,87
-0.3536,-2.7154,-0.1292,1.6252,-0.6925,-1.2023,3.164,0.5226,8.2136,2.8682,-7.4986,5.6286,1.0861,9.1756,-1.1458,3.0498,-3.1112,-0.8985,-2.0164,8.9161,-1.8274,0.4596,-0.98082,0,1698375680.6957,88
-0.3815,-2.6185,-0.111,1.5993,-0.6637,-0.816,3.6512,0.5764,7.7539,2.8094,-6.336,6.1791,2.0796,8.9175,-1.1919,2.7158,-3.2005,-1.0193,-2.3864,8.5459,-1.4959,0.2474,-0.985102,0,1698375680.7065,89
-0.4073,-2.5548,-0.093,1.5751,-0.6209,-0.4487,4.0287,0.7094,7.4191,2.827,-5.4893,6.2487,2.7746,8.5787,-1.17,2.4037,-3.2281,-0.9913,-2.5418,8.262,-1.2387,0.0906,-0.988429,0,1698375680.7181,90
-0.4314,-2.4532,-0.0755,1.5379,-0.5033,-0.1011,4.3143,0.802,7.1801,2.8362,-5.0259,5.9934,3.1304,8.1879,-1.0822,2.23,-2.9854,0.2601,-2.619,8.0277,-1.0558,-0.0251,-0.991012,0,1698375680.7287,91
-0.453,-2.3346,-0.0586,1.4864,-0.291,0.3904,4.4628,1.2919,6.9544,2.5164,-5.0358,5.1339,3.094,7.8084,-0.8733,2.0766,-1.4538,3.2859,-2.8434,7.8345,-0.7721,-0.0983,-0.791746,0,1698375680.7386,92
-0.4704,-2.1696,-0.043,1.4244,-0.2709,0.8983,4.4844,1.9304,7.1466,2.012,-5.7235,3.8058,2.649,7.4573,-0.5401,1.9086,1.2433,6.8982,-3.2964,7.7731,-0.2475,-1.2949,-0.413699,0,1698375680.7487,93
-0.4851,-1.9468,-0.0284,1.4371,-0.3883,1.3081,4.3973,2.201,7.3875,1.7881,-6.8602,2.5637,1.9965,7.1519,-0.2949,1.8419,1.4523,7.2029,-3.1693,7.6701,-0.2151,-2.4985,-0.098062,0,1698375680.7593,94
-0.4983,-1.7444,-0.0138,1.4781,-0.3039,1.6707,4.2137,2.4146,7.4044,1.704,-8.0788,1.5223,1.4054,6.8928,-0.194,1.8546,0.0109,3.5672,-2.8278,7.3456,-0.466,-2.4159,0.147094,0,1698375680.7705,95
-0.5098,-1.6021,0.0014,1.4745,-0.1284,1.9882,3.9449,2.5966,7.2866,1.7196,-9.3432,0.71,0.8534,6.7028,-0.1957,1.9141,-0.6442,1.3202,-2.6357,7.1688,-0.6644,-1.889,0.337515,0,1698375680.7808,96
-0.5184,-1.4238,0.0156,1.4866,-0.1335,2.3481,3.6058,2.6062,7.2897,1.7598,-10.3654,0.0552,0.33,6.5816,-0.3243,2.0114,-1.5332,1.8664,-2.0937,7.1152,-1.0346,-1.3684,0.471848,0,1698375680.7905,97
