right q,right q dot,left q,left q dot,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,Label
-0.102,0.5866,0.1261,-1.3982,-0.5112,0.1676,0.7648,-0.201,-0.0566,0.4798,-0.455,0.0143,0.7633,-0.3291,0.0722,0.4397,17
-0.102,0.5866,0.1261,-1.3982,-0.5031,0.1709,0.7661,-0.2193,-0.0492,0.5025,-0.4542,0.0202,0.7562,-0.3265,0.0863,0.4527,17
-0.0947,0.5682,0.1089,-1.4259,-0.5031,0.1709,0.7661,-0.2193,-0.0492,0.5025,-0.4542,0.0202,0.7562,-0.3265,0.0863,0.4527,17
-0.0877,0.5465,0.0915,-1.446,-0.4954,0.1735,0.769,-0.2355,-0.042,0.5236,-0.4544,0.0254,0.7507,-0.3213,0.1006,0.4653,18
-0.0877,0.5465,0.0915,-1.446,-0.4881,0.1753,0.7733,-0.2494,-0.0351,0.5428,-0.4556,0.03,0.747,-0.3136,0.1148,0.4773,18
-0.0809,0.5221,0.0739,-1.4582,-0.4881,0.1753,0.7733,-0.2494,-0.0351,0.5428,-0.4556,0.03,0.747,-0.3136,0.1148,0.4773,18
-0.0745,0.4957,0.0563,-1.4623,-0.4812,0.1764,0.7789,-0.2607,-0.0286,0.5601,-0.4576,0.034,0.745,-0.3036,0.1287,0.4885,19
-0.0745,0.4957,0.0563,-1.4623,-0.4748,0.1767,0.7856,-0.2692,-0.0226,0.5752,-0.4604,0.0372,0.7447,-0.2914,0.142,0.4986,19
-0.0684,0.4682,0.0387,-1.4581,-0.4748,0.1767,0.7856,-0.2692,-0.0226,0.5752,-0.4604,0.0372,0.7447,-0.2914,0.142,0.4986,19
-0.0626,0.4405,0.0212,-1.4458,-0.4687,0.1762,0.7933,-0.2749,-0.0171,0.5881,-0.4638,0.0399,0.746,-0.2774,0.1547,0.5076,20
-0.0626,0.4405,0.0212,-1.4458,-0.463,0.175,0.8018,-0.2776,-0.0121,0.5987,-0.4678,0.0419,0.7489,-0.2617,0.1664,0.5152,20
-0.0572,0.4133,0.004,-1.4255,-0.463,0.175,0.8018,-0.2776,-0.0121,0.5987,-0.4678,0.0419,0.7489,-0.2617,0.1664,0.5152,20
-0.0521,0.3874,-0.013,-1.3975,-0.4577,0.1731,0.8108,-0.2771,-0.0077,0.6071,-0.4722,0.0433,0.7532,-0.2447,0.177,0.5213,21
-0.0521,0.3874,-0.013,-1.3975,-0.4528,0.1706,0.8201,-0.2737,-0.004,0.6131,-0.4768,0.0441,0.7587,-0.2268,0.1864,0.5257,21
-0.0474,0.3638,-0.0295,-1.3623,-0.4528,0.1706,0.8201,-0.2737,-0.004,0.6131,-0.4768,0.0441,0.7587,-0.2268,0.1864,0.5257,21
-0.0429,0.343,-0.0455,-1.3203,-0.4481,0.1676,0.8294,-0.2672,-0.0009,0.6168,-0.4815,0.0445,0.7654,-0.2081,0.1945,0.5284,22
-0.0429,0.343,-0.0455,-1.3203,-0.4437,0.1641,0.8386,-0.2578,0.0015,0.6181,-0.4861,0.0445,0.7729,-0.1892,0.2013,0.5293,22
