right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.2087,0.2937,-0.0115,-0.7787,0.3314,1.4711,0.5919,-0.2281,10.3564,1.989,1.5135,0.2297,-0.8412,9.703,-0.6787,5.1917,0.1912,-2.0313,-1.0392,10.2784,-0.3309,1.9775,0.929749,0,1698651636.0356,23
-0.2052,0.3149,-0.0241,-0.9415,0.2662,1.4777,0.485,-0.1098,10.4423,1.9121,1.4582,0.4738,-0.7629,9.5433,-0.6658,5.1564,-0.0934,-2.0049,-1.0266,10.0496,-0.3245,1.9837,0.944526,0,1698651636.0456,24
-0.2003,0.3441,-0.0378,-1.1023,0.3059,1.523,0.3679,-0.034,10.2408,1.893,1.4144,0.6353,-0.6434,9.3212,-0.6352,5.1154,-0.3018,-1.9588,-0.9683,9.7422,-0.3361,2.0238,0.956262,0,1698651636.0559,25
-0.1939,0.3973,-0.0531,-1.2169,0.3154,1.5965,0.2531,0.0842,9.8604,1.9648,1.3897,0.7377,-0.4866,9.073,-0.5836,5.0461,-0.5019,-1.9255,-0.8855,9.4599,-0.2537,2.0274,0.965468,0,1698651636.0661,26
-0.187,0.4631,-0.069,-1.2505,0.3185,1.6442,0.1366,0.0991,9.6743,1.9847,1.4268,0.8172,-0.3154,8.8482,-0.5361,4.949,-0.6523,-1.7719,-0.8161,9.2131,-0.1717,2.0566,0.972708,0,1698651636.076,26
-0.1801,0.5152,-0.0845,-1.2501,0.4156,1.7102,0.0359,-0.0131,9.3974,1.958,1.4828,0.8449,-0.1526,8.6078,-0.477,4.8829,-0.6907,-1.5392,-0.7537,8.9992,-0.1335,2.0705,0.978235,0,1698651636.0863,27
-0.1727,0.5525,-0.1003,-1.265,0.4969,1.8203,-0.05,-0.0847,8.9302,2.0051,1.5315,0.829,-0.0142,8.3754,-0.3707,4.8533,-0.6225,-1.3644,-0.683,8.875,-0.0653,2.0345,0.98266,0,1698651636.0958,28
-0.1655,0.5743,-0.1157,-1.315,0.4442,1.8581,-0.1439,-0.1594,8.7537,2.0345,1.5991,0.8404,0.0746,8.2723,-0.2411,4.861,-0.509,-1.44,-0.5838,8.8671,0.0154,2.0419,0.986354,0,1698651636.1054,28
-0.1585,0.6132,-0.1312,-1.3517,0.3563,1.8312,-0.2323,-0.3903,9.0143,1.9269,1.7062,0.8553,0.1341,8.3046,-0.1273,4.8902,-0.3374,-1.8353,-0.4616,8.9464,0.103,2.0636,0.989347,0,1698651636.1156,29
-0.1515,0.6462,-0.1474,-1.394,0.3001,1.8189,-0.2872,-0.6944,9.4233,1.7193,1.8873,0.8148,0.2043,8.394,-0.0176,4.9393,-0.1418,-2.3844,-0.3317,9.0983,0.1785,2.0551,0.991715,0,1698651636.1256,30
