right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.3472,0.1483,-0.0337,-0.2971,1.8234,0.9076,-0.1036,-0.1422,10.2056,2.0847,0.6057,-0.9756,-1.3518,11.326,-1.9703,2.0863,0.5412,-1.111,-1.8235,11.3161,0.3565,2.0127,-0.969307,0,1698374128.6757,24
-0.343,0.2487,-0.0414,-0.4077,1.6969,0.8424,-0.1779,0.0127,10.1466,2.0436,-0.0233,-0.4249,-1.1434,11.1583,-1.9502,1.9257,0.7357,-0.8955,-1.9315,11.0838,0.345,2.0038,-0.976092,0,1698374128.6864,25
-0.3365,0.3598,-0.0503,-0.4942,1.776,0.8122,-0.2944,0.1793,10.1015,2.1513,-0.3593,-0.0287,-0.9849,10.9674,-1.9907,1.7227,0.9567,-0.8841,-1.9771,10.8294,0.2344,1.9047,-0.980135,0,1698374128.6964,26
-0.3275,0.4679,-0.0605,-0.6176,1.7939,0.845,-0.4744,0.3563,10.0967,2.3653,-0.4464,0.1274,-0.8584,10.7689,-2.0497,1.5754,1.4888,-1.0942,-2.0526,10.5219,0.1323,1.7691,-0.969935,0,1698374128.7064,26
-0.3166,0.6343,-0.0723,-0.8148,1.8018,0.919,-0.6722,0.447,10.1125,2.6232,-0.3462,0.0875,-0.7379,10.5431,-2.0763,1.4912,2.1825,-0.8807,-2.1061,10.2104,0.0601,1.7427,-0.950735,0,1698374128.7167,27
-0.3048,0.8172,-0.0854,-1.0166,1.8395,1.0157,-0.8352,0.4277,9.8907,2.8519,-0.1653,-0.1104,-0.6265,10.2971,-2.0357,1.4424,2.8602,-0.4252,-2.059,9.8767,0.0153,1.716,-0.870731,0,1698374128.7264,28
-0.2929,0.95,-0.1,-1.1385,1.7384,1.1224,-0.9771,0.3597,9.8573,2.8988,0.1065,-0.4389,-0.5408,10.0066,-1.9412,1.4563,3.2766,0.0028,-1.9312,9.5376,0.0591,1.7036,-0.607781,0,1698374128.7364,28
-0.2816,1.0135,-0.1163,-1.2151,1.5738,1.2282,-1.0626,0.1431,10.0097,2.8334,0.5272,-0.8381,-0.4828,9.7516,-1.7458,1.4946,3.3266,0.1878,-1.7195,9.2524,0.2112,1.7239,-0.272442,0,1698374128.7469,29
-0.2713,1.0083,-0.1342,-1.3261,1.2994,1.3829,-1.0839,-0.1201,9.7592,2.9251,0.952,-1.2222,-0.4522,9.5995,-1.449,1.6647,3.0015,-0.0239,-1.446,9.0762,0.4786,1.7439,-0.033721,0,1698374128.756,30
-0.2624,0.9509,-0.1537,-1.4805,0.9337,1.4911,-1.0604,-0.3362,9.6202,3.0519,1.2905,-1.5956,-0.4667,9.5281,-1.0904,1.9166,2.3902,-0.5965,-1.1756,8.9987,0.8289,1.7894,-0.007294,0,1698374128.7662,30
-0.2549,0.8985,-0.1749,-1.672,0.6309,1.4873,-1.0071,-0.5661,9.6689,3.1175,1.6488,-1.9675,-0.5113,9.5924,-0.7282,2.0983,1.6665,-1.5312,-0.9553,8.9329,1.1617,1.6278,-0.171602,0,1698374128.7759,31
-0.2483,0.8516,-0.1978,-1.8498,0.3071,1.5049,-0.9258,-0.7572,9.7602,3.0621,2.118,-2.2392,-0.5451,9.7373,-0.4092,2.2788,1.188,-2.0732,-0.7246,8.9246,1.4346,1.5503,-0.349421,0,1698374128.786,32
-0.2423,0.7971,-0.2218,-2.0032,-0.033,1.5219,-0.8395,-0.8712,9.9914,2.9431,2.6666,-2.36,-0.5602,9.8797,-0.1795,2.4695,1.3054,-1.3975,-0.4491,9.067,1.7057,1.8307,-0.494114,0,1698374128.7957,33
-0.2368,0.7335,-0.2457,-2.0785,-0.3893,1.53,-0.7666,-1.0565,10.1243,2.8882,3.148,-2.2723,-0.5669,10.0358,-0.0474,2.659,1.977,0.1288,-0.2317,9.2652,1.92,2.1543,-0.385133,0,1698374128.8056,33
-0.2317,0.6756,-0.2687,-2.141,-0.6617,1.5687,-0.7142,-1.3276,10.1018,2.8179,3.3234,-1.9246,-0.578,10.1896,0.0298,2.8273,2.7883,1.6866,-0.079,9.4847,1.9918,2.3824,-0.077387,0,1698374128.8157,34
-0.2268,0.6299,-0.29,-2.1706,-0.7745,1.5255,-0.7076,-1.6077,9.9486,2.8136,3.1392,-1.3819,-0.5824,10.3197,0.0368,2.9164,3.2293,2.6657,0.0132,9.7055,1.9602,2.4823,0.163161,0,1698374128.8258,35
-0.2227,0.5691,-0.3092,-2.1159,-0.7768,1.3743,-0.74,-1.8833,9.8371,2.8752,2.7056,-0.7652,-0.5568,10.4273,0.0022,2.8909,3.1876,2.9413,0.0166,9.8742,1.8886,2.4963,0.350003,0,1698374128.8363,35
-0.2194,0.5213,-0.3264,-2.0223,-0.6756,1.1316,-0.8409,-2.1537,9.8636,2.863,2.1242,-0.1541,-0.496,10.4931,-0.0565,2.7907,2.8066,2.8256,-0.0208,9.9735,1.8151,2.5074,0.495128,0,1698374128.8459,36
