right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.2542,0.2939,0.025,0.2853,-0.2334,1.0491,-1.6648,0.7969,9.7063,0.3077,0.9207,-1.4998,0.5488,8.4301,-1.0562,5.6518,1.6094,-0.9345,-0.4357,9.1726,-1.1908,3.7231,0.526126,0,1698648004.1526,18
-0.2488,0.3392,0.028,0.2895,-0.2296,1.1279,-1.613,0.616,10.3457,0.337,1.3684,-1.3161,0.6439,8.812,-0.8711,5.699,1.9404,-1.2373,-0.2699,9.4069,-1.0809,3.807,0.57561,0,1698648004.162,19
-0.2448,0.3275,0.031,0.3155,-0.2113,1.1618,-1.4841,0.3791,10.7626,0.4625,1.8747,-1.1095,0.7136,9.1196,-0.6543,5.7552,2.1608,-1.6583,-0.1266,9.6551,-0.9241,3.8714,0.639993,0,1698648004.1712,19
-0.242,0.3145,0.034,0.3299,-0.1767,1.1625,-1.3278,0.099,10.9989,0.6137,2.2355,-0.9822,0.639,9.3425,-0.448,5.8654,2.2332,-1.9393,-0.0323,9.9581,-0.739,3.9171,0.717319,0,1698648004.1804,20
-0.2399,0.3085,0.0363,0.3013,-0.0875,1.1077,-1.1893,-0.2064,11.1676,0.8112,2.4297,-0.7454,0.3978,9.588,-0.2434,6.0705,2.1352,-1.8763,-0.0111,10.2963,-0.5599,3.986,0.779066,0,1698648004.1905,21
-0.2385,0.2551,0.0376,0.2529,-0.0012,0.9953,-1.0843,-0.4471,11.2904,1.0003,2.4826,-0.6193,0.1577,9.8252,-0.0503,6.3407,1.8886,-1.7575,-0.0491,10.6231,-0.3974,4.0812,0.827053,0,1698648004.2006,21
-0.2384,0.1842,0.038,0.2045,0.0683,0.8398,-1.0172,-0.5985,11.2511,1.134,2.389,-0.7507,0.0112,10.0242,0.0979,6.5511,1.582,-1.5536,-0.1136,10.8832,-0.251,4.1597,0.860522,0,1698648004.2111,22
-0.2386,0.1523,0.0381,0.1613,0.1616,0.6917,-0.977,-0.6544,11.0554,1.2312,2.0802,-1.0137,-0.0276,10.1354,0.1592,6.6266,1.2127,-1.2393,-0.1884,11.0049,-0.1341,4.1846,0.867111,0,1698648004.2208,22
-0.2386,0.1299,0.0381,0.1303,0.2689,0.5903,-0.9552,-0.5858,10.8547,1.2447,1.6223,-1.086,-0.0705,10.1163,0.1077,6.5671,0.7153,-0.886,-0.2661,10.9555,-0.053,4.1967,0.8239,0,1698648004.2325,23
-0.2386,0.0974,0.0381,0.1018,0.3881,0.5269,-0.9647,-0.4523,10.7104,1.2132,1.1404,-1.0024,-0.1226,9.9773,-0.0138,6.4217,0.11,-0.6466,-0.3554,10.7853,-0.0108,4.1933,0.678701,0,1698648004.2421,23
