q,right_acc_x,right_acc_y,right_acc_z,right_ang_x,right_ang_y,right_ang_z,left_acc_x,left_acc_y,left_acc_z,left_ang_x,left_ang_y,left_ang_z,label
0.0295,0.2032,1.2763,0.238,0.8046,4.9121,8.8239,-1.1539,1.4577,1.8355,2.1193,-0.1938,9.6249,51
0.0363,0.6145,1.1966,-0.0996,0.8987,5.0562,9.1819,-1.1601,1.1598,1.4388,2.176,-0.3298,10.0323,52
0.0422,0.6145,1.1966,-0.0996,0.8987,5.0562,9.1819,-1.1601,1.1598,1.4388,2.176,-0.3298,10.0323,52
0.0482,0.8121,1.1289,-0.3791,1.0428,5.1919,9.515,-1.0245,0.9564,1.0339,2.3142,-0.4178,10.3117,53
0.0536,0.7951,1.1637,-0.5967,1.2069,5.284,9.7225,-0.8232,0.7891,0.5897,2.4518,-0.4321,10.3768,54
0.0601,0.7951,1.1637,-0.5967,1.2069,5.284,9.7225,-0.8232,0.7891,0.5897,2.4518,-0.4321,10.3768,55
0.0662,0.7951,1.1637,-0.5967,1.2069,5.284,9.7225,-0.8232,0.7891,0.5897,2.4518,-0.4321,10.3768,55
0.0724,0.6251,1.237,-0.7548,1.328,5.3281,9.7801,-0.6336,0.5908,0.0807,2.5392,-0.381,10.2714,56
0.0789,0.6251,1.237,-0.7548,1.328,5.3281,9.7801,-0.6336,0.5908,0.0807,2.5392,-0.381,10.2714,57
0.0871,0.3771,1.1897,-0.8818,1.3266,5.3836,9.7469,-0.5592,0.3318,-0.4948,2.5392,-0.2872,10.1121,58
0.0942,0.3771,1.1897,-0.8818,1.3266,5.3836,9.7469,-0.5592,0.3318,-0.4948,2.5392,-0.2872,10.1121,59
0.1012,0.088,0.8761,-1.0512,1.1564,5.4762,9.7093,-0.6462,0.0532,-1.0805,2.4548,-0.2146,10.0079,59
0.1061,0.088,0.8761,-1.0512,1.1564,5.4762,9.7093,-0.6462,0.0532,-1.0805,2.4548,-0.2146,10.0079,60
0.1086,0.088,0.8761,-1.0512,1.1564,5.4762,9.7093,-0.6462,0.0532,-1.0805,2.4548,-0.2146,10.0079,61
0.1091,-0.2275,0.2628,-1.3515,0.9213,5.5489,9.7365,-0.8427,-0.1377,-1.5911,2.3411,-0.214,10.0331,62
0.1091,-0.4595,-0.4679,-1.7917,0.8145,5.5547,9.8709,-1.0866,-0.1539,-1.9505,2.2341,-0.2961,10.1899,63
0.1091,-0.4595,-0.4679,-1.7917,0.8145,5.5547,9.8709,-1.0866,-0.1539,-1.9505,2.2341,-0.2961,10.1899,63
0.1096,-0.4884,-1.0314,-2.2599,0.9067,5.5189,10.0764,-1.3171,-0.0375,-2.1315,2.1241,-0.4509,10.4005,64
0.1108,-0.4884,-1.0314,-2.2599,0.9067,5.5189,10.0764,-1.3171,-0.0375,-2.1315,2.1241,-0.4509,10.4005,65
0.1129,-0.3706,-1.2805,-2.601,1.1056,5.4864,10.2666,-1.4779,0.1976,-2.1781,2.016,-0.6296,10.5871,66
0.1159,-0.2219,-1.2838,-2.7199,1.2592,5.4714,10.437,-1.5917,0.446,-2.1741,1.9316,-0.7835,10.7633,66
0.1195,-0.2219,-1.2838,-2.7199,1.2592,5.4714,10.437,-1.5917,0.446,-2.1741,1.9316,-0.7835,10.7633,67
0.1228,-0.1093,-1.2738,-2.6371,1.2662,5.4839,10.6839,-1.7321,0.3527,-2.189,1.8883,-0.9684,11.0319,68
0.1237,-0.1093,-1.2738,-2.6371,1.2662,5.4839,10.6839,-1.7321,0.3527,-2.189,1.8883,-0.9684,11.0319,69
0.1235,-0.1093,-1.2738,-2.6371,1.2662,5.4839,10.6839,-1.7321,0.3527,-2.189,1.8883,-0.9684,11.0319,70
0.1234,-0.0699,-1.4994,-2.4889,1.134,5.5158,11.0712,-1.8786,-0.1412,-2.2643,1.9032,-1.3041,11.4861,70
0.123,-0.0699,-1.4994,-2.4889,1.134,5.5158,11.0712,-1.8786,-0.1412,-2.2643,1.9032,-1.3041,11.4861,71
0.1209,-0.0692,-1.9962,-2.4123,0.9657,5.5269,11.5676,-1.8651,-0.7516,-2.4359,1.9898,-1.7916,12.1113,72
0.1179,-0.0692,-1.9962,-2.4123,0.9657,5.5269,11.5676,-1.8651,-0.7516,-2.4359,1.9898,-1.7916,12.1113,73
0.1111,-0.0692,-1.9962,-2.4123,0.9657,5.5269,11.5676,-1.8651,-0.7516,-2.4359,1.9898,-1.7916,12.1113,73
0.1013,-0.0584,-2.5569,-2.4415,0.886,5.4848,12.0725,-1.5264,-1.2218,-2.6849,2.1507,-2.2863,12.7219,74
0.0903,-0.0584,-2.5569,-2.4415,0.886,5.4848,12.0725,-1.5264,-1.2218,-2.6849,2.1507,-2.2863,12.7219,75
0.0746,-0.0742,-2.8495,-2.5154,0.945,5.3678,12.4043,-0.8638,-1.3815,-2.9465,2.3578,-2.6423,13.0068,76
0.0586,-0.2445,-2.6282,-2.5331,1.0474,5.1555,12.3631,0.0111,-1.1821,-3.2431,2.5423,-2.808,12.7328,77
0.0406,-0.2445,-2.6282,-2.5331,1.0474,5.1555,12.3631,0.0111,-1.1821,-3.2431,2.5423,-2.808,12.7328,77
0.0209,-0.6447,-1.9397,-2.4482,1.0232,4.8305,11.8844,0.9128,-0.71,-3.6539,2.5993,-2.7955,11.9162,78
0.0003,-0.6447,-1.9397,-2.4482,1.0232,4.8305,11.8844,0.9128,-0.71,-3.6539,2.5993,-2.7955,11.9162,79
-0.0207,-1.1766,-1.1438,-2.3258,0.7941,4.4119,11.1137,1.5539,-0.1354,-4.1688,2.4599,-2.6372,10.8189,80
-0.0419,-1.1766,-1.1438,-2.3258,0.7941,4.4119,11.1137,1.5539,-0.1354,-4.1688,2.4599,-2.6372,10.8189,80
-0.0626,-1.6368,-0.6908,-2.324,0.4132,3.961,10.333,1.7167,0.4599,-4.663,2.1476,-2.4246,9.8003,81
-0.0845,-1.6368,-0.6908,-2.324,0.4132,3.961,10.333,1.7167,0.4599,-4.663,2.1476,-2.4246,9.8003,82
-0.1051,-1.8351,-0.81,-2.5948,0.0472,3.5445,9.7987,1.4095,1.0699,-4.9581,1.7256,-2.2838,9.1227,83
