right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.2393,0.3618,-0.0142,-0.8233,1.1864,2.9233,-1.2962,-0.5654,10.0648,2.2496,-1.4056,1.0067,2.0204,-7.6944,5.8831,2.4262,-2.2928,-1.3319,1.5445,-8.9923,-3.1574,-1.4557,0.970116,0,1698373572.3563,22
-0.2338,0.4098,-0.0268,-0.9206,1.2064,2.7727,-1.4758,-0.5784,9.8301,2.2778,-1.3043,1.1063,2.0503,-7.2872,5.8333,2.2859,-2.2785,-1.3389,1.546,-8.7371,-2.8818,-1.4108,0.976788,0,1698373572.3671,22
-0.227,0.4774,-0.0414,-1.0247,1.1316,2.7453,-1.6375,-0.5257,9.7002,2.284,-1.2998,1.2586,2.1034,-6.9062,5.8027,2.1233,-2.3782,-1.3648,1.5463,-8.5236,-2.626,-1.3503,0.98197,0,1698373572.3782,23
-0.2202,0.5213,-0.0571,-1.1443,0.9712,2.7641,-1.7426,-0.4679,9.6254,2.2741,-1.3781,1.4409,2.1591,-6.5464,5.7778,1.9544,-2.5706,-1.4079,1.556,-8.3509,-2.3921,-1.2824,0.985993,0,1698373572.3882,24
-0.2137,0.5549,-0.0728,-1.2221,0.8348,2.7582,-1.7902,-0.468,9.5366,2.3012,-1.4968,1.6233,2.2057,-6.2381,5.731,1.7784,-2.8139,-1.4525,1.5737,-8.2052,-2.1762,-1.2096,0.989098,0,1698373572.3987,24
-0.2071,0.5833,-0.0893,-1.2467,0.9287,2.6176,-1.7365,-0.8164,9.058,2.4936,-1.8758,1.884,2.2465,-5.8159,5.6755,1.4678,-3.371,-1.5309,1.6459,-8.0484,-1.8219,-1.0779,0.991481,0,1698373572.41,25
-0.2005,0.5754,-0.1077,-1.3171,0.9568,2.5814,-1.6286,-1.0431,8.6891,2.532,-2.1348,1.9309,2.2413,-5.7276,5.7526,1.3494,-3.6307,-1.6068,1.6793,-8.0932,-1.7033,-1.0302,0.993331,0,1698373572.4209,26
-0.1939,0.5548,-0.1268,-1.4653,0.9582,2.5225,-1.4894,-1.2584,8.4851,2.571,-2.3905,1.9247,2.2363,-5.7269,5.923,1.2264,-3.8495,-1.7169,1.6908,-8.2167,-1.6126,-1.0081,0.994754,0,1698373572.4324,26
-0.1871,0.5358,-0.1467,-1.6156,0.9448,2.4555,-1.3447,-1.4182,8.6191,2.513,-2.6088,1.8815,2.2342,-5.7918,6.1527,1.125,-4.0134,-1.8442,1.681,-8.4156,-1.5723,-0.9864,0.995776,0,1698373572.443,27
-0.181,0.5155,-0.1664,-1.706,0.7836,2.4001,-1.1828,-1.5816,8.9271,2.3389,-2.7714,1.8352,2.2317,-5.9457,6.3945,1.0555,-4.1109,-1.9541,1.6444,-8.6524,-1.5728,-0.9645,0.996449,0,1698373572.4559,28
-0.1753,0.495,-0.1873,-1.7013,0.5978,2.3195,-0.9983,-1.7761,9.2078,2.2238,-2.8373,1.8018,2.211,-6.1473,6.6307,1.0259,-4.1347,-1.9892,1.6091,-8.8959,-1.6166,-0.9528,0.996725,0,1698373572.4669,28
-0.1701,0.4705,-0.2076,-1.6543,0.485,2.2032,-0.8524,-1.9561,9.4956,2.1559,-2.7879,1.798,2.1583,-6.3814,6.8432,1.0577,-4.1011,-1.8955,1.5996,-9.1372,-1.6938,-0.9571,0.996006,0,1698373572.4774,29
-0.1666,0.417,-0.2245,-1.6295,0.6514,2.0234,-0.7485,-2.1405,9.7982,2.0781,-2.6507,1.87,2.0909,-6.649,7.0027,1.1471,-4.0282,-1.6821,1.6212,-9.3569,-1.8016,-0.9623,0.99285,0,1698373572.487,29
-0.1648,0.3374,-0.2393,-1.5803,0.8838,1.7858,-0.666,-2.3227,9.9352,2.0939,-2.4358,2.0163,2.0284,-6.9092,7.1044,1.2665,-3.9026,-1.3953,1.6747,-9.5351,-1.9434,-0.9404,0.986257,0,1698373572.4982,30
-0.1642,0.2798,-0.2534,-1.4974,0.875,1.5381,-0.6276,-2.4459,9.9325,2.1411,-2.1386,2.17,1.9645,-7.1448,7.1628,1.4015,-3.7044,-1.078,1.7511,-9.6644,-2.0829,-0.8956,0.974842,0,1698373572.5086,31
-0.1638,0.2551,-0.2658,-1.3811,0.7728,1.3126,-0.6378,-2.4327,9.9173,2.1623,-1.7748,2.2672,1.8833,-7.3309,7.2039,1.5232,-3.4286,-0.7684,1.8326,-9.7499,-2.2049,-0.8282,0.96218,0,1698373572.5182,31
-0.1628,0.2476,-0.2761,-1.2428,0.69,1.1041,-0.713,-2.3525,9.9841,2.1788,-1.3559,2.266,1.7657,-7.4526,7.2185,1.6022,-3.0806,-0.4879,1.8985,-9.7981,-2.2956,-0.7641,0.955403,0,1698373572.5296,32
-0.1604,0.2397,-0.2853,-1.1507,0.8503,0.7541,-0.9797,-2.0116,9.5812,2.1694,-0.462,1.9942,1.4082,-7.5579,7.1817,1.6955,-2.2922,-0.0152,1.9388,-9.7577,-2.2921,-0.672,0.768499,0,1698373572.541,33
-0.1569,0.2469,-0.2933,-1.0454,1.0715,0.5979,-1.1456,-1.7814,9.3858,2.2306,-0.0805,1.829,1.216,-7.527,7.1542,1.7689,-1.9397,0.1781,1.9111,-9.6622,-2.2153,-0.635,0.434442,0,1698373572.5523,33
-0.153,0.2553,-0.299,-0.9057,1.3174,0.4314,-1.3017,-1.6686,9.1802,2.3173,0.2235,1.699,1.0437,-7.4258,7.1117,1.8484,-1.6668,0.3367,1.8563,-9.5357,-2.1137,-0.6122,0.216672,0,1698373572.5626,34
-0.1497,0.2493,-0.302,-0.758,1.3985,0.3362,-1.4494,-1.5644,9.1703,2.2789,0.4289,1.6303,0.9023,-7.2608,7.0535,1.9446,-1.4821,0.448,1.7755,-9.3997,-2.0118,-0.5891,0.10554,0,1698373572.5731,35
-0.1469,0.2623,-0.3038,-0.6408,1.4044,0.3167,-1.6085,-1.4102,9.4095,2.0916,0.5152,1.629,0.7958,-7.0581,6.9747,2.0514,-1.3667,0.5046,1.6726,-9.2401,-1.9305,-0.5418,0.018125,0,1698373572.5852,35
-0.1437,0.3043,-0.3071,-0.5766,1.3118,0.3042,-1.795,-1.2795,9.8997,1.8434,0.5123,1.6434,0.7079,-6.8314,6.8777,2.1274,-1.3027,0.5085,1.5518,-9.0603,-1.874,-0.4994,-0.096894,0,1698373572.5959,36
-0.1394,0.3361,-0.3114,-0.5311,1.1061,0.2757,-1.9383,-1.2533,10.2845,1.6574,0.4479,1.6153,0.6227,-6.6439,6.7812,2.1784,-1.2717,0.4673,1.4162,-8.8968,-1.8326,-0.4731,-0.24652,0,1698373572.6063,37
-0.135,0.3413,-0.3155,-0.5035,0.9191,0.286,-1.989,-1.2368,10.3425,1.5274,0.345,1.5313,0.5292,-6.5306,6.6888,2.2103,-1.2604,0.3884,1.2691,-8.776,-1.8092,-0.4581,-0.395747,0,1698373572.6163,37
-0.1315,0.3267,-0.319,-0.4754,0.7337,0.2922,-1.9509,-1.253,10.3387,1.4354,0.2582,1.3978,0.4318,-6.4832,6.5995,2.2075,-1.2712,0.2768,1.1114,-8.7025,-1.8191,-0.4339,-0.516794,0,1698373572.6274,38
-0.1292,0.2966,-0.3227,-0.46,0.479,0.2826,-1.8471,-1.309,10.4087,1.3808,0.2002,1.2192,0.3366,-6.4926,6.5269,2.1644,-1.2984,0.1535,0.9463,-8.6651,-1.8509,-0.4156,-0.585093,0,1698373572.6373,38
-0.1277,0.2713,-0.3272,-0.4655,0.0928,0.2879,-1.7299,-1.3463,10.6483,1.2369,0.1697,1.0114,0.2431,-6.5274,6.4793,2.1131,-1.328,0.0432,0.7806,-8.6714,-1.914,-0.4252,-0.585714,0,1698373572.6474,39
-0.1265,0.2454,-0.3326,-0.4861,-0.4228,0.3227,-1.5911,-1.398,10.8112,1.0695,0.203,0.8305,0.1636,-6.5743,6.4816,2.0671,-1.3212,-0.0263,0.6178,-8.7025,-1.9957,-0.4385,-0.557169,0,1698373572.6574,40
-0.1253,0.2292,-0.3381,-0.482,-0.9076,0.3378,-1.4066,-1.5084,10.749,1.0244,0.2971,0.689,0.124,-6.6074,6.5201,2.0174,-1.2588,-0.0282,0.4717,-8.7509,-2.0366,-0.4571,-0.539062,0,1698373572.6687,40
-0.1239,0.2251,-0.3439,-0.464,-1.5675,0.2229,-1.0306,-1.6669,10.6916,1.0662,0.5554,0.5955,0.0786,-6.5934,6.6981,1.9571,-1.0209,0.1427,0.2829,-8.9482,-2.0247,-0.4788,-0.531805,0,1698373572.6795,41
-0.1222,0.2176,-0.3493,-0.4624,-1.7669,0.1478,-0.8383,-1.7274,10.468,1.0935,0.6398,0.6233,0.0503,-6.5622,6.7852,1.932,-0.8738,0.2812,0.25,-9.0629,-1.9811,-0.4786,-0.529471,0,1698373572.6904,42
-0.1206,0.1912,-0.3533,-0.4214,-1.9082,0.0349,-0.666,-1.7373,10.225,1.1164,0.7208,0.6636,0.0003,-6.5406,6.8593,1.8911,-0.7494,0.4406,0.2508,-9.1549,-1.9283,-0.4524,-0.529874,0,1698373572.7015,42
-0.1193,0.1558,-0.3552,-0.3434,-2.0076,-0.086,-0.5184,-1.7199,10.1803,1.1298,0.8024,0.6975,-0.0659,-6.5374,6.8906,1.8596,-0.6502,0.6037,0.2685,-9.2221,-1.8772,-0.4046,-0.532234,0,1698373572.7129,43
-0.1184,0.1348,-0.3556,-0.2832,-2.0381,-0.185,-0.4115,-1.7154,10.1384,1.151,0.8896,0.7093,-0.1378,-6.5494,6.8915,1.8443,-0.5646,0.7636,0.2941,-9.2489,-1.8404,-0.3717,-0.535226,0,1698373572.7243,44
-0.1181,0.1137,-0.3556,-0.236,-2.0932,-0.279,-0.3472,-1.6363,10.1104,1.1743,0.9778,0.704,-0.2029,-6.5545,6.8895,1.838,-0.4871,0.9091,0.3183,-9.2304,-1.8019,-0.3604,-0.538205,0,1698373572.7348,44
-0.118,0.0783,-0.3555,-0.1916,-2.1463,-0.3647,-0.3101,-1.5166,10.0312,1.2612,1.06,0.6982,-0.2561,-6.5421,6.893,1.8507,-0.4183,1.0383,0.3286,-9.1874,-1.7576,-0.3612,-0.541633,0,1698373572.7454,45
-0.118,0.049,-0.3553,-0.1552,-2.1994,-0.4262,-0.271,-1.518,9.947,1.3709,1.1426,0.6928,-0.3,-6.5146,6.8855,1.867,-0.3769,1.1438,0.3136,-9.1463,-1.7306,-0.3741,-0.545481,0,1698373572.7546,46
-0.118,0.0284,-0.3551,-0.1199,-2.2509,-0.4595,-0.2133,-1.5535,9.8262,1.4154,1.211,0.6878,-0.3383,-6.4916,6.8912,1.8765,-0.3753,1.2274,0.2678,-9.1021,-1.7191,-0.4049,-0.549374,0,1698373572.7644,46
-0.118,0.0305,-0.355,-0.0868,-2.2645,-0.47,-0.1473,-1.4902,9.6399,1.4121,1.2632,0.6873,-0.3775,-6.4775,6.9077,1.8972,-0.4167,1.306,0.2016,-9.0504,-1.6988,-0.4776,-0.55131,0,1698373572.7741,47
-0.118,0.0382,-0.3548,-0.055,-2.2427,-0.479,-0.0729,-1.4392,9.4987,1.418,1.3123,0.6878,-0.4258,-6.4726,6.9061,1.9068,-0.4745,1.3705,0.1229,-9,-1.6684,-0.5479,-0.548388,0,1698373572.784,47
-0.118,0.0283,-0.3547,-0.0365,-2.172,-0.4954,0.0078,-1.4584,9.3655,1.4278,1.3471,0.6856,-0.4888,-6.4863,6.9045,1.9021,-0.5193,1.4061,0.0345,-8.966,-1.6496,-0.5899,-0.538613,0,1698373572.7942,48
-0.118,0.0218,-0.3544,-0.0129,-2.0814,-0.4971,0.0748,-1.4679,9.265,1.415,1.3519,0.6762,-0.5668,-6.5054,6.9004,1.8901,-0.5465,1.409,-0.0623,-8.957,-1.6326,-0.6408,-0.521622,0,1698373572.8041,49
-0.1179,0.0227,-0.3536,0.0193,-2.0067,-0.5026,0.1336,-1.4946,9.1575,1.4005,1.3224,0.6629,-0.6512,-6.5315,6.898,1.8847,-0.5309,1.3763,-0.163,-8.9708,-1.6336,-0.6677,-0.499068,0,1698373572.8141,49
