right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.1858,0.5713,0.0277,-1.0497,0.2328,0.8191,0.0224,0.1899,11.4951,0.7183,-2.7694,-0.0855,-0.9471,-9.4651,5.11,-1.8699,0.4506,0.1742,-0.7297,-9.2781,-0.2582,4.0708,-0.896331,0,1698647670,27
-0.1762,0.7058,0.0125,-1.1666,0.0711,0.9722,-0.3587,0.2903,11.083,0.7674,-3.065,0.1778,-1.3216,-8.844,4.8824,-1.8923,0.1779,0.4419,-0.8621,-8.881,-0.1488,3.6545,-0.91848,0,1698647670,28
-0.1652,0.7887,-0.0038,-1.3213,-0.0391,1.1712,-0.7136,0.396,10.6664,0.8967,-3.2852,0.4574,-1.6133,-8.1935,4.6458,-1.9453,-0.2759,0.6166,-0.9053,-8.4815,-0.0681,3.2291,-0.922655,0,1698647670,29
-0.1532,0.8477,-0.0216,-1.4586,-0.0948,1.3752,-1.0045,0.4984,10.1212,1.0252,-3.5056,0.7427,-1.8484,-7.5602,4.4241,-2.0172,-0.8389,0.7234,-0.8732,-8.1033,-0.0183,2.8189,-0.916803,0,1698647670,29
-0.1422,0.8781,-0.0396,-1.547,-0.0845,1.5738,-1.2075,0.5376,9.6894,1.0914,-3.7603,0.9873,-2.0293,-7.0073,4.2371,-2.0685,-1.5071,0.7782,-0.7622,-7.7518,0.0621,2.5162,-0.809726,0,1698647670,30
-0.1328,0.8724,-0.0574,-1.6276,-0.0151,1.7697,-1.308,0.5483,8.9989,1.3951,-3.9275,1.1739,-2.111,-6.572,4.0778,-2.1089,-2.1199,0.6622,-0.5465,-7.483,0.1299,2.27,-0.54407,0,1698647670,31
-0.1251,0.8359,-0.0751,-1.7001,-0.0438,1.8444,-1.3546,0.3419,8.5202,1.6681,-3.9142,1.2907,-2.1012,-6.3125,3.9797,-2.1359,-2.5925,0.3182,-0.2306,-7.3312,0.2008,2.0898,-0.238456,0,1698647670,32
-0.1184,0.7812,-0.0934,-1.7509,-0.1786,1.9134,-1.3567,-0.0129,8.3315,1.7158,-3.713,1.2697,-1.976,-6.2157,3.9275,-2.1546,-2.9604,-0.203,0.1391,-7.2972,0.2232,2.0386,0.022763,0,1698647670,33
-0.1117,0.7555,-0.1124,-1.7887,-0.4086,2.1171,-1.297,-0.3214,8.204,1.759,-3.4289,1.0788,-1.7526,-6.2367,3.8798,-2.1773,-3.2418,-0.9605,0.5686,-7.3293,0.224,2.1907,0.21489,0,1698647670,33
-0.1044,0.7643,-0.1322,-1.8557,-0.6844,2.2974,-1.2131,-0.7671,8.5432,1.6685,-3.1792,0.7234,-1.5135,-6.3466,3.84,-2.1961,-3.4511,-1.5618,0.9363,-7.4289,0.3142,2.4146,0.285734,0,1698647670,34
-0.0964,0.7725,-0.1523,-1.8804,-0.7895,2.423,-1.1232,-1.1737,8.5808,1.5448,-2.929,0.2591,-1.2434,-6.5661,3.8327,-2.1909,-3.5787,-2.0467,1.273,-7.5986,0.3672,2.5926,0.219178,0,1698647670,35
-0.0876,0.7673,-0.172,-1.8482,-0.7715,2.466,-1.0227,-1.4291,8.3997,1.5021,-2.624,-0.169,-0.945,-6.8352,3.8986,-2.1451,-3.6599,-2.4753,1.5994,-7.7209,0.3356,2.775,0.079822,0,1698647670,36
-0.0789,0.7775,-0.1917,-1.8755,-0.7234,2.4184,-0.9046,-1.6747,8.2879,1.5674,-2.2975,-0.4111,-0.6842,-7.0801,4.0353,-2.1112,-3.5611,-2.5764,1.7199,-7.8436,0.2779,2.9741,-0.06652,0,1698647670,36
-0.0706,0.7616,-0.2099,-1.9102,-0.5923,2.3312,-0.8069,-1.7603,8.0482,1.6624,-2.0064,-0.3929,-0.5166,-7.3082,4.2102,-2.0613,-3.3114,-2.4675,1.655,-8.0063,0.281,3.2447,-0.157106,0,1698647670,37
-0.0634,0.7522,-0.2252,-1.8694,-0.4393,2.2132,-0.7387,-1.7054,7.9991,1.6154,-1.9099,-0.1768,-0.5304,-7.525,4.4187,-1.967,-3.0782,-2.2917,1.5083,-8.1426,0.3042,3.5653,-0.171813,0,1698647670,38
-0.0565,0.7514,-0.2392,-1.7714,-0.2694,2.1147,-0.7002,-1.6304,8.0412,1.5049,-2.0377,0.2245,-0.6954,-7.7185,4.6331,-1.8365,-2.8459,-2.052,1.3449,-8.241,0.2859,3.8108,-0.127563,0,1698647670,39
-0.0496,0.7312,-0.2532,-1.6524,0.0237,2.0177,-0.7027,-1.6066,7.9731,1.507,-2.1737,0.705,-0.8653,-7.8567,4.8397,-1.6408,-2.5675,-1.7346,1.2206,-8.3144,0.2559,3.9535,-0.036099,0,1698647670,40
-0.0432,0.6939,-0.2665,-1.5792,0.357,1.8981,-0.7489,-1.5617,8.0022,1.5567,-2.2707,1.1438,-1.0177,-7.9184,5.0133,-1.4632,-2.3197,-1.425,1.1402,-8.3544,0.2441,4.0688,0.022156,0,1698647670,40
-0.0369,0.6692,-0.2791,-1.5099,0.5409,1.599,-0.8411,-1.4102,8.2518,1.4491,-2.5123,1.5613,-1.235,-7.8976,5.1091,-1.3923,-2.0855,-1.3107,1.2115,-8.3517,0.2347,4.1637,0.033152,0,1698647670,41
-0.0306,0.6645,-0.2909,-1.4185,0.6411,1.4049,-0.9561,-1.3009,8.5892,1.2178,-2.8789,1.9546,-1.4898,-7.8355,5.1455,-1.3786,-1.8389,-1.3472,1.4442,-8.3106,0.2134,4.1794,0.139164,0,1698647670,42
-0.0247,0.6423,-0.3032,-1.3746,0.8272,1.6863,-1.0898,-1.2555,8.7659,1.1276,-3.2241,2.2823,-1.6945,-7.7622,5.1249,-1.3747,-1.5833,-1.3482,1.6352,-8.2429,0.2466,4.1788,0.32123,0,1698647670,43
-0.0185,0.6251,-0.3151,-1.3609,0.9461,1.8767,-1.2362,-1.1703,8.753,1.1295,-3.4411,2.5172,-1.8101,-7.6897,5.0309,-1.3415,-1.4386,-1.3396,1.7784,-8.101,0.2562,4.2128,0.472649,0,1698647670,43
-0.0123,0.6317,-0.3259,-1.3261,1.0087,1.8167,-1.3704,-1.2669,8.7826,1.074,-3.5023,2.6826,-1.8479,-7.6417,4.9095,-1.2844,-1.4769,-1.2214,1.8385,-7.9163,0.2782,4.3015,0.590382,0,1698647670,44
-0.0061,0.6556,-0.3363,-1.271,1.0479,1.7667,-1.4883,-1.393,8.8109,1.0338,-3.5294,2.7514,-1.8653,-7.6054,4.7884,-1.2432,-1.6456,-1.0954,1.8366,-7.7348,0.328,4.4155,0.681818,0,1698647671,45
0.0006,0.6872,-0.3462,-1.2246,0.81,1.7951,-1.5364,-1.488,8.7481,1.0403,-3.5905,2.6865,-1.8873,-7.5637,4.6273,-1.2065,-1.9429,-1.0197,1.8249,-7.5156,0.2966,4.495,0.751114,0,1698647671,46
0.0074,0.702,-0.3556,-1.1892,0.5459,1.8692,-1.5601,-1.6179,8.8598,0.9056,-3.6482,2.5226,-1.8951,-7.5553,4.4477,-1.1563,-2.276,-0.8928,1.751,-7.2704,0.2257,4.5731,0.799651,0,1698647671,47
0.0142,0.7102,-0.3645,-1.1473,0.3373,1.8842,-1.5922,-1.5571,9.0849,0.6106,-3.6785,2.346,-1.9002,-7.5549,4.2886,-1.1109,-2.5952,-0.7388,1.6212,-7.0209,0.1349,4.6324,0.834649,0,1698647671,47
0.0211,0.7042,-0.3722,-1.054,0.0987,1.8736,-1.554,-1.5721,9.1702,0.4625,-3.6373,2.207,-1.8949,-7.561,4.1485,-1.0181,-2.8228,-0.5791,1.4446,-6.8181,0.0226,4.6709,0.839545,0,1698647671,48
0.0277,0.6662,-0.3785,-0.9734,-0.0722,1.8015,-1.4758,-1.6503,9.267,0.4036,-3.5166,2.0872,-1.8831,-7.5829,4.0407,-0.9199,-2.9611,-0.4005,1.24,-6.6765,-0.0756,4.7172,0.740711,0,1698647671,49
0.0338,0.6285,-0.384,-0.889,-0.2791,1.7012,-1.3673,-1.6657,9.3622,0.3281,-3.3224,1.9882,-1.8909,-7.606,3.9562,-0.8925,-3.0362,-0.2499,1.0189,-6.5781,-0.1711,4.7815,0.509512,0,1698647671,50
0.0401,0.605,-0.3881,-0.767,-0.5276,1.6267,-1.2251,-1.6845,9.298,0.261,-3.0505,1.9283,-1.8885,-7.6457,3.9021,-0.8544,-3.0715,-0.1713,0.8183,-6.5471,-0.2129,4.8782,0.239235,0,1698647671,50
0.046,0.5897,-0.39,-0.6319,-0.758,1.5714,-1.0678,-1.6791,9.1903,0.1738,-2.6774,1.8996,-1.8534,-7.6844,3.8729,-0.8376,-3.076,-0.1426,0.6462,-6.5687,-0.1895,4.9439,0.020028,0,1698647671,51
0.0516,0.5724,-0.3903,-0.4915,-0.8902,1.49,-0.9098,-1.6806,9.0429,0.1558,-2.2521,1.8544,-1.821,-7.7368,3.8806,-0.8815,-2.9814,-0.1526,0.4818,-6.6253,-0.1695,4.9928,-0.147111,0,1698647671,52
0.0574,0.5618,-0.3901,-0.375,-0.9758,1.3715,-0.7854,-1.6694,8.931,0.2103,-1.8748,1.7545,-1.8222,-7.7961,3.9481,-0.9306,-2.7656,-0.1451,0.3193,-6.7109,-0.1406,5.0089,-0.278567,0,1698647671,53
0.064,0.5668,-0.3898,-0.2931,-1.0346,1.2692,-0.6973,-1.7064,8.8604,0.2069,-1.5648,1.607,-1.8411,-7.8278,4.0329,-0.9981,-2.506,-0.072,0.1563,-6.8264,-0.0946,4.9685,-0.376318,0,1698647671,53
0.0706,0.5617,-0.3895,-0.2167,-1.0087,1.1607,-0.6237,-1.7528,8.7954,0.1526,-1.324,1.4524,-1.8583,-7.8518,4.1196,-1.053,-2.22,-0.2546,0.0059,-6.9746,-0.0717,4.9884,-0.462248,0,1698647671,54
0.0776,0.5592,-0.3891,-0.1452,-1.0828,1.167,-0.5484,-1.7002,8.9212,-0.3259,-1.0194,1.2001,-1.8559,-7.9308,4.2712,-1.0278,-1.5668,-0.4714,-0.1948,-7.2238,-0.0316,5.2035,-0.544521,0,1698647671,55
0.0852,0.5848,-0.3869,-0.0686,-1.0828,1.167,-0.5484,-1.7002,8.9212,-0.3259,-1.0194,1.2001,-1.8559,-7.9308,4.2712,-1.0278,-1.5668,-0.4714,-0.1948,-7.2238,-0.0316,5.2035,-0.612819,0,1698647671,56
0.0918,0.6061,-0.3817,0.0622,-1.2762,1.1342,-0.4851,-1.7348,9.1235,-0.4576,-0.9379,1.0647,-1.8383,-7.9752,4.3138,-0.9897,-1.2561,-0.4243,-0.2822,-7.3094,0.0411,5.3204,-0.670211,0,1698647671,57
0.0977,0.6095,-0.3748,0.2138,-1.3779,0.9622,-0.4154,-1.8321,9.2467,-0.5311,-0.8865,0.9127,-1.8024,-8.0302,4.3386,-0.9585,-1.0174,-0.4379,-0.3577,-7.3685,0.0647,5.4002,-0.722787,0,1698647671,57
0.1031,0.5828,-0.3668,0.3533,-1.4773,0.912,-0.3503,-1.906,9.211,-0.6622,-0.8397,0.7564,-1.7448,-8.0866,4.3412,-0.918,-0.8498,-0.4792,-0.4198,-7.4104,0.0154,5.4581,-0.770791,0,1698647671,58
0.1075,0.5541,-0.3576,0.4661,-1.4932,0.8322,-0.2979,-2.1222,9.3123,-0.7597,-0.7395,0.6298,-1.6472,-8.1547,4.3278,-0.8688,-0.7665,-0.5403,-0.4305,-7.4381,-0.0087,5.5593,-0.81325,0,1698647671,59
0.1119,0.5682,-0.3481,0.5997,-1.4067,0.6969,-0.2829,-2.3703,9.4687,-0.7962,-0.5611,0.5178,-1.5134,-8.2052,4.3088,-0.8609,-0.6831,-0.5868,-0.4473,-7.4433,-0.0267,5.6186,-0.851186,0,1698647671,60
0.117,0.5799,-0.3378,0.7466,-1.3267,0.5765,-0.301,-2.5231,9.6183,-0.8694,-0.3629,0.4027,-1.372,-8.2219,4.2885,-0.8852,-0.5144,-0.6775,-0.4433,-7.431,-0.0294,5.6989,-0.883284,0,1698647671,60
0.1218,0.5519,-0.327,0.8414,-1.1845,0.477,-0.2971,-2.6127,9.6484,-0.8916,-0.1757,0.2912,-1.2255,-8.2232,4.2751,-0.912,-0.2819,-0.7804,-0.4309,-7.4263,0.0409,5.7803,-0.909191,0,1698647671,61
0.1257,0.4994,-0.317,0.8908,-1.0961,0.3647,-0.2516,-2.5458,9.7499,-0.8272,0.0107,0.1636,-1.0708,-8.2482,4.2874,-0.8982,-0.028,-0.8671,-0.4195,-7.4601,0.0894,5.7804,-0.929439,0,1698647671,62
0.1295,0.4746,-0.3084,0.8786,-0.9423,0.2017,-0.1872,-2.4911,9.7568,-0.677,0.2142,0.0177,-0.8961,-8.3219,4.3234,-0.8623,0.3626,-0.9387,-0.3851,-7.5294,0.1135,5.797,-0.944983,0,1698647671,63
0.1336,0.4666,-0.3017,0.8151,-0.8356,0.0896,-0.0988,-2.377,9.7343,-0.6336,0.4268,-0.1417,-0.7085,-8.4072,4.3771,-0.8619,0.609,-0.9252,-0.3874,-7.604,0.1794,5.8236,-0.956654,0,1698647671,64
0.1372,0.4301,-0.2978,0.6994,-0.711,-0.0171,0.038,-2.3311,9.8281,-0.7071,0.62,-0.3047,-0.5337,-8.4738,4.4642,-0.8689,0.5472,-0.862,-0.4215,-7.6617,0.2569,5.864,-0.965234,0,1698647671,64
0.1397,0.3674,-0.2967,0.5506,-0.615,-0.1724,0.1979,-2.3553,10.0693,-0.8625,0.7889,-0.4543,-0.3801,-8.5348,4.5973,-0.8743,0.4549,-0.7626,-0.4719,-7.7108,0.3296,5.9122,-0.971316,0,1698647671,65
0.1417,0.3009,-0.2967,0.4244,-0.67,-0.3408,0.3809,-2.3482,10.332,-1.0676,0.9311,-0.6139,-0.2438,-8.622,4.7491,-0.8993,0.3398,-0.6632,-0.5016,-7.7992,0.386,5.982,-0.973111,0,1698647671,66
0.1434,0.2496,-0.2966,0.328,-0.694,-0.5363,0.5811,-2.4261,10.3947,-1.1415,1.0109,-0.8368,-0.1378,-8.7566,4.8704,-1.0257,0.2955,-0.6107,-0.5111,-7.9924,0.346,6.0435,-0.962112,0,1698647671,67
0.145,0.2191,-0.2964,0.2649,-0.6359,-0.839,0.7109,-2.5572,10.569,-1.0221,1.067,-1.1011,-0.0471,-9.002,4.961,-1.2358,0.3889,-0.6211,-0.5364,-8.2919,0.1745,6.1064,-0.927269,0,1698647671,67
0.147,0.2216,-0.2952,0.2534,-0.5508,-1.1593,0.7095,-2.579,10.9741,-0.7245,1.2485,-1.3456,0.0899,-9.424,5.0217,-1.356,0.6686,-0.7365,-0.6045,-8.626,-0.1043,6.2144,-0.877352,0,1698647671,68
